family_id,instance_id,policy_id,performance
w2_c100_uneven,111,deep_q_networks,7101.94
w2_c100_uneven,112,deep_q_networks,6652.55
w2_c100_uneven,113,deep_q_networks,6793.45
w2_c100_uneven,114,deep_q_networks,6506.07
w2_c100_uneven,115,deep_q_networks,6485.3
w2_c100_uneven,116,deep_q_networks,7117.21
w2_c100_uneven,117,deep_q_networks,6959.28
w2_c100_uneven,118,deep_q_networks,6736.45
w2_c100_uneven,119,deep_q_networks,7132.35
w2_c100_uneven,120,deep_q_networks,6417.04
w2_c100_uneven,121,deep_q_networks,7136.16
w2_c100_uneven,122,deep_q_networks,7028.28
w2_c100_uneven,123,deep_q_networks,7461.17
w2_c100_uneven,124,deep_q_networks,6905.02
w2_c100_uneven,125,deep_q_networks,6400.36
w2_c100_uneven,126,deep_q_networks,6714.66
w2_c100_uneven,127,deep_q_networks,6834.77
w2_c100_uneven,128,deep_q_networks,6629.12
w2_c100_uneven,129,deep_q_networks,7330.27
w2_c100_uneven,130,deep_q_networks,6891.11
w2_c100_uneven,131,deep_q_networks,6211.88
w2_c100_uneven,132,deep_q_networks,7267.51
w2_c100_uneven,133,deep_q_networks,6891.84
w2_c100_uneven,134,deep_q_networks,6538.0
w2_c100_uneven,135,deep_q_networks,6657.69
w2_c100_uneven,136,deep_q_networks,6769.32
w2_c100_uneven,137,deep_q_networks,6861.43
w2_c100_uneven,138,deep_q_networks,7193.45
w2_c100_uneven,139,deep_q_networks,6740.03
w2_c100_uneven,140,deep_q_networks,6834.89
w2_c100_uneven,141,deep_q_networks,6877.09
w2_c100_uneven,142,deep_q_networks,5919.07
w2_c100_uneven,143,deep_q_networks,7550.2
w2_c100_uneven,144,deep_q_networks,6921.93
w2_c100_uneven,145,deep_q_networks,6991.91
w2_c100_uneven,146,deep_q_networks,6912.02
w2_c100_uneven,147,deep_q_networks,6517.88
w2_c100_uneven,148,deep_q_networks,6629.1
w2_c100_uneven,149,deep_q_networks,7125.23
w2_c100_uneven,150,deep_q_networks,6810.19
w2_c100_uneven,151,deep_q_networks,6665.24
w2_c100_uneven,152,deep_q_networks,6724.37
w2_c100_uneven,153,deep_q_networks,6718.16
w2_c100_uneven,154,deep_q_networks,7237.21
w2_c100_uneven,155,deep_q_networks,6908.22
w2_c100_uneven,156,deep_q_networks,6975.5
w2_c100_uneven,157,deep_q_networks,7053.31
w2_c100_uneven,158,deep_q_networks,6596.8
w2_c100_uneven,159,deep_q_networks,6565.6
w2_c100_uneven,160,deep_q_networks,6685.52
w2_c100_uneven,161,deep_q_networks,7222.82
w2_c100_uneven,162,deep_q_networks,6435.03
w2_c100_uneven,163,deep_q_networks,7334.35
w2_c100_uneven,164,deep_q_networks,7247.32
w2_c100_uneven,165,deep_q_networks,7032.78
w2_c100_uneven,166,deep_q_networks,6718.37
w2_c100_uneven,167,deep_q_networks,6777.05
w2_c100_uneven,168,deep_q_networks,6558.77
w2_c100_uneven,169,deep_q_networks,6907.95
w2_c100_uneven,170,deep_q_networks,6608.53
w2_c100_uneven,171,deep_q_networks,7489.0
w2_c100_uneven,172,deep_q_networks,7091.83
w2_c100_uneven,173,deep_q_networks,7190.75
w2_c100_uneven,174,deep_q_networks,7041.86
w2_c100_uneven,175,deep_q_networks,7468.58
w2_c100_uneven,176,deep_q_networks,6874.54
w2_c100_uneven,177,deep_q_networks,6630.49
w2_c100_uneven,178,deep_q_networks,7065.6
