iteration,mean_cost,theta
1,25721.89748154444,"0.0,0.0"
2,25906.890797116954,"0.1426,0.2812"
3,25816.93500299958,"0.42,0.4255"
4,25824.50727437222,"0.6472,0.6151"
5,25866.34370423201,"0.7985,0.875"
6,25908.76504081661,"0.9826,1.1005"
7,25779.26100089428,"1.1561,1.3328"
8,25819.266888560414,"1.3826,1.5067"
9,25896.0218919361,"1.4839,1.8021"
10,25739.24692589354,"1.8236,1.8544"
11,25815.175999549683,"2.0205,2.0449"
12,25911.95772419319,"2.2439,2.2056"
13,25783.246575643538,"2.4141,2.4175"
14,25707.92984788239,"2.7332,2.4735"
15,25750.183236614157,"2.8425,2.7351"
16,25927.81401393698,"2.9247,3.0206"
17,25792.97971413748,"3.1516,3.1605"
18,25768.02701831716,"3.3762,3.2972"
19,25806.946840578094,"3.4171,3.6129"
20,25860.184378827427,"3.6533,3.7309"
21,25792.69408022534,"3.7621,3.9743"
22,25754.205362579018,"3.8525,4.2307"
23,25784.39296246416,"4.1911,4.234"
24,25730.411268002983,"4.4197,4.3459"
25,25789.442432178334,"4.4712,4.6301"
26,25839.357061054303,"4.6644,4.7711"
27,25847.788658981128,"4.8728,4.8935"
28,25845.03041800897,"5.0593,5.0348"
29,25723.15785134342,"5.0286,5.3867"
30,25758.720194327423,"5.2867,5.4484"
31,25784.262786122366,"5.4749,5.5773"
32,25806.59194892321,"5.7323,5.6334"
33,25837.46629277941,"5.8893,5.7885"
34,25850.127326871305,"6.0182,5.9675"
35,25855.689035383082,"6.0335,6.258"
36,25857.00777315739,"6.2652,6.33"
37,25820.904146033754,"6.457,6.4379"
38,25686.272446855,"6.6716,6.5192"
39,25835.92543567842,"6.8471,6.6353"
40,25850.500525998097,"7.0677,6.7056"
41,25672.876782669387,"7.1213,6.9393"
42,25877.872026132434,"7.175,7.1674"
43,26006.66236335432,"7.2773,7.3473"
44,25764.696712140492,"7.4198,7.4871"
45,25865.509723072726,"7.402,7.7786"
46,25838.573848328517,"7.5656,7.8888"
47,25733.18379147296,"7.7871,7.9377"
48,25927.74873274837,"8.0358,7.955"
49,25920.00377447235,"8.0979,8.1593"
50,25749.504725202387,"8.2545,8.2663"
51,25844.96626955456,"8.2687,8.5102"
52,25696.113595083636,"8.5563,8.4793"
53,25801.89875490179,"8.6581,8.6304"
54,25865.046410293406,"8.8608,8.6794"
55,25863.79020592093,"8.8686,8.9202"
56,25737.581846148452,"8.9046,9.1322"
57,25790.28132456714,"9.1051,9.1753"
58,25904.55619221171,"9.2325,9.2909"
59,25796.107229167264,"9.3771,9.387"
60,26015.668455221195,"9.4826,9.5183"
61,25864.21573973563,"9.6029,9.6362"
62,25736.028863526244,"9.5849,9.8867"
63,25864.683430272173,"9.8128,9.8868"
64,25692.024592688624,"10.0577,9.8707"
65,25752.12042475021,"10.1704,9.9811"
66,25853.66942263139,"10.2166,10.1578"
67,25824.08589324874,"10.31,10.2859"
68,25811.275272810282,"10.4072,10.408"
69,25894.746665790633,"10.4877,10.5451"
70,25820.329434256357,"10.3781,10.8685"
71,25953.46548517859,"10.7381,10.7163"
72,25852.216828494187,"10.8418,10.8254"
73,25795.47408493553,"10.8778,10.9983"
74,25698.122358321863,"11.0081,11.0741"
75,25723.63603213491,"11.0475,11.2375"
76,25817.526840664716,"11.0901,11.396"
77,25831.168397189304,"11.2419,11.4446"
78,25870.97703532384,"11.3319,11.553"
79,25816.50355754216,"11.565,11.5162"
80,25825.713124537746,"11.5277,11.7462"
81,25862.517742149215,"11.7981,11.6673"
82,25993.477823237725,"11.984,11.672"
83,25676.57390035772,"11.9922,11.8543"
84,25831.107487351986,"12.2389,11.7923"
85,25822.657227178242,"12.3083,11.9086"
86,25854.478036695808,"12.3264,12.0731"
87,25818.362304876708,"12.4749,12.1061"
88,25925.447441605756,"12.4807,12.2803"
89,25683.817807670977,"12.4956,12.4436"
90,25808.344694276104,"12.3907,12.7208"
91,25749.072705169827,"12.535,12.7497"
92,25855.156665696766,"12.726,12.7296"
93,25850.647366599293,"12.6425,12.9815"
94,25808.19291056586,"12.918,12.8717"
95,25837.811743621154,"12.9848,12.9718"
