iteration,mean_cost,theta
1,21732.0673907703,"0.0,0.0,0.0,0.0"
2,21700.58651585943,"0.6833,0.0249,-0.7699,-0.301"
3,21631.782594178057,"1.3549,0.0662,-1.5791,-0.5315"
4,21541.552321386218,"1.9747,0.1918,-2.3724,-0.8652"
5,21296.39012211334,"2.581,0.341,-3.1739,-1.194"
6,21490.794428985064,"3.2171,0.4234,-3.9641,-1.4734"
7,21271.258238834856,"3.8418,0.5299,-4.7774,-1.7371"
8,21153.2594720088,"4.4214,0.7088,-5.5682,-2.1027"
9,21222.0877019134,"4.9187,1.0339,-6.3982,-2.5118"
10,20946.245287430833,"5.4921,1.2051,-7.1411,-2.9542"
11,21139.30511497107,"5.9747,1.502,-7.8689,-3.445"
12,20892.875115491304,"6.4753,1.7822,-8.6333,-3.9024"
13,20870.822044400906,"6.9493,2.0808,-9.3719,-4.3576"
14,20707.049469713456,"7.4807,2.3229,-10.1718,-4.7472"
15,20520.20238618452,"7.9233,2.645,-10.8632,-5.2711"
16,20718.103347119813,"8.3889,2.9637,-11.5945,-5.7844"
17,20604.689478973578,"8.8099,3.3381,-12.3181,-6.3178"
18,20423.47792364938,"9.2383,3.6943,-13.0356,-6.8362"
19,20431.082431326355,"9.6873,4.0058,-13.7105,-7.4066"
20,20457.48283757593,"10.1512,4.2938,-14.3885,-7.9617"
21,20341.422613077335,"10.5504,4.6663,-15.0053,-8.6552"
22,20387.869664167076,"10.96,5.0554,-15.7241,-9.2444"
23,20361.544389953866,"11.3365,5.4327,-16.341,-9.8776"
24,20096.27533047384,"11.7577,5.7764,-16.9684,-10.579"
25,20235.451465201902,"12.1466,6.1379,-17.5725,-11.2573"
26,20259.561566200802,"12.5582,6.4562,-18.1429,-11.9852"
27,20146.42524038342,"12.9471,6.8105,-18.7202,-12.7076"
28,20021.212722042972,"13.3015,7.2392,-19.3071,-13.5116"
29,20009.86918618719,"13.7117,7.5902,-19.8887,-14.3111"
30,19992.357332360985,"14.1335,7.8635,-20.416,-15.0334"
31,19951.966485141405,"14.4553,8.2187,-20.7796,-15.9537"
32,19940.502591751992,"14.761,8.608,-21.1871,-16.8251"
33,19816.101443997406,"15.116,8.9702,-21.6548,-17.6887"
34,19761.97048313604,"15.3899,9.4217,-22.0605,-18.6303"
35,19907.93262921633,"15.768,9.6829,-22.398,-19.5594"
36,19647.064787677537,"16.1086,9.9906,-22.7445,-20.457"
37,19790.63656267011,"16.4985,10.1463,-22.9204,-21.461"
38,19754.341845614974,"16.8655,10.3792,-23.2065,-22.3844"
39,19713.71895951581,"17.2572,10.5734,-23.4882,-23.3064"
40,19621.89718651954,"17.6402,10.7728,-23.7233,-24.2913"
41,19614.775312683003,"17.8989,11.0503,-23.7931,-25.343"
42,19637.55038931715,"18.1391,11.3806,-23.9047,-26.3853"
43,19620.556460881253,"18.361,11.7433,-24.0051,-27.4835"
44,19369.016853447843,"18.6712,11.9334,-24.0053,-28.6207"
45,19586.220781451502,"18.9428,12.1506,-23.9974,-29.6953"
46,19600.519612518387,"19.2166,12.3648,-23.9744,-30.7809"
47,19633.226662568377,"19.5436,12.5709,-24.0862,-31.8284"
48,19429.448941879462,"19.8171,12.835,-24.1265,-32.9622"
49,19574.244149917613,"20.0959,13.0679,-24.1171,-34.1304"
50,19303.008122028146,"20.384,13.3459,-24.2196,-35.2356"
51,19434.824975730884,"20.6597,13.5187,-24.082,-36.4336"
52,19275.42547568257,"20.9202,13.719,-24.0318,-37.4798"
53,19279.273778217506,"21.1755,13.943,-23.9356,-38.637"
54,19327.89493781606,"21.5154,14.0426,-23.8446,-39.7627"
55,19284.804984261053,"21.8277,14.2619,-23.8614,-40.946"
56,19241.422237208077,"22.1543,14.3855,-23.7695,-42.0604"
57,19228.334252698194,"22.4785,14.6174,-23.8637,-43.1276"
58,19289.81471125819,"22.7961,14.8072,-23.7837,-44.3763"
59,19190.3319380619,"23.0184,15.1615,-23.8227,-45.5185"
60,19357.147495922578,"23.3567,15.4463,-23.9896,-46.5695"
61,19297.648544326144,"23.8109,15.559,-24.2227,-47.4575"
62,19119.522398938367,"24.1302,15.7689,-24.2126,-48.5298"
