iteration,mean_cost,theta
1,5470.969149180831,"0.0,0.0,0.0"
2,5450.737091192547,"0.7812,-0.278,0.5534"
3,5512.087797255504,"1.4887,-0.5758,1.1888"
4,5436.16215494918,"2.1651,-0.8797,1.8445"
5,5527.550012181342,"2.9109,-1.1137,2.3564"
6,5450.632349622174,"3.5694,-1.3914,3.0075"
7,5431.0426364068735,"4.2405,-1.6423,3.5845"
8,5504.242344465678,"4.8867,-1.9672,4.2343"
9,5422.608740266563,"5.5595,-2.213,4.8076"
10,5414.469849291183,"6.2508,-2.4854,5.3615"
11,5432.030110142846,"6.8743,-2.7004,5.9358"
12,5381.839062259153,"7.544,-2.9199,6.4649"
13,5404.820564690658,"8.1931,-3.2154,7.0586"
14,5403.141639177281,"8.821,-3.4385,7.6057"
15,5313.132026354193,"9.4715,-3.6335,8.0944"
16,5343.149280868685,"10.0532,-3.8189,8.6341"
17,5361.248626337602,"10.5638,-3.9944,9.2379"
18,5392.231037955992,"11.2377,-4.144,9.632"
19,5366.668881936525,"11.6815,-4.3345,10.2881"
20,5375.4471673556,"12.206,-4.5292,10.8713"
21,5382.698932782618,"12.6909,-4.684,11.4527"
22,5339.674706843849,"13.2735,-4.8623,11.9511"
23,5328.220084570056,"13.8373,-4.9804,12.3981"
24,5402.006531366331,"14.4464,-5.1365,12.8171"
25,5374.672935279068,"14.9479,-5.1771,13.2615"
26,5287.273166385675,"15.4178,-5.2383,13.7348"
27,5334.851948182481,"15.7091,-5.2048,14.2778"
28,5276.788010282243,"16.2902,-5.2429,14.5913"
29,5258.051486917858,"16.6998,-5.2476,15.0419"
30,5255.802876717286,"17.0741,-5.1795,15.4509"
31,5249.717580181796,"17.5096,-5.1079,15.7777"
32,5305.276062147659,"17.9287,-5.0195,16.0948"
33,5297.918255217085,"18.361,-4.9526,16.4213"
34,5306.231196142568,"18.7594,-4.9732,16.8524"
35,5264.243489371234,"19.2014,-5.0002,17.2447"
36,5272.398098010835,"19.5546,-4.9519,17.636"
37,5279.017522577326,"19.9304,-4.8688,17.9667"
38,5265.376528551836,"20.155,-4.6872,18.3561"
39,5312.054977317862,"20.5732,-4.5941,18.621"
40,5278.8943012422,"20.8248,-4.4006,18.9663"
41,5368.044883829604,"21.06,-4.2547,19.354"
42,5340.270373290558,"21.4962,-4.2326,19.6629"
43,5334.073020515959,"21.9448,-4.1236,19.8619"
44,5323.141290689375,"22.4179,-4.0,20.0112"
45,5358.966901234986,"22.6448,-3.87,20.4054"
46,5343.157864368533,"22.9288,-3.7388,20.7358"
47,5293.428850444137,"23.19,-3.5698,21.0427"
48,5278.820787663807,"23.4042,-3.3584,21.3455"
49,5294.416042748437,"23.6581,-3.0394,21.488"
50,5316.49704301415,"24.0096,-2.9592,21.7599"
51,5333.625277363072,"24.2974,-2.7679,21.9882"
52,5308.667409003433,"24.5133,-2.6149,22.3199"
53,5315.759524011102,"24.7045,-2.35,22.5629"
54,5296.383076697581,"25.0194,-2.2197,22.7973"
55,5281.123681671796,"25.2638,-2.0144,23.0238"
56,5285.396682008934,"25.3903,-1.7829,23.3325"
57,5304.89941797222,"25.6597,-1.6088,23.5504"
58,5301.987594608874,"25.7888,-1.5045,23.9674"
59,5327.483701799112,"26.0017,-1.3257,24.2244"
60,5260.586551409444,"26.2881,-1.2081,24.4684"
61,5271.966240635604,"26.5348,-1.0974,24.7367"
62,5305.420932460981,"26.6637,-0.8076,24.953"
63,5322.00024683357,"26.9043,-0.5613,25.0946"
64,5330.133266726649,"27.189,-0.4154,25.2822"
65,5291.075400966373,"27.4138,-0.2376,25.4979"
66,5275.878379002494,"27.5425,-0.1301,25.8628"
67,5252.381452602717,"27.6873,0.238,25.9521"
68,5269.960041800351,"27.8903,0.3948,26.1724"
69,5310.3481881078915,"28.2076,0.6235,26.2045"
70,5310.437788740897,"28.3175,0.8044,26.4994"
71,5354.453065908817,"28.4398,1.0003,26.7635"
72,5278.580122931522,"28.7206,1.1999,26.8598"
73,5242.386374162173,"28.8704,1.4666,27.0096"
74,5290.614336780866,"29.0167,1.6025,27.2739"
75,5334.545175319484,"29.1806,1.8724,27.3977"
76,5301.069386446629,"29.3533,2.09,27.5689"
77,5353.922316448518,"29.4977,2.3645,27.7005"
78,5320.177185513825,"29.8319,2.3873,27.8833"
79,5254.731323825672,"30.0126,2.4814,28.1486"
80,5327.498113977676,"30.2179,2.5396,28.4005"
81,5267.380297222884,"30.3384,2.7438,28.6089"
82,5302.133794875393,"30.4981,3.1043,28.6003"
83,5273.722867309848,"30.6183,3.3623,28.7399"
84,5238.239655645187,"30.7188,3.5744,28.9329"
85,5295.595512782983,"30.8171,3.7612,29.141"
86,5368.652253041389,"31.1183,3.8432,29.2449"
87,5339.7693161630505,"31.2487,3.901,29.5659"
88,5281.647835780822,"31.4549,4.0105,29.7458"
89,5297.188085477918,"31.5906,4.2929,29.8112"
90,5358.190454828775,"31.8505,4.4579,29.8586"
91,5367.7055190774345,"32.0083,4.6232,30.0281"
92,5298.706503178155,"32.1439,4.775,30.223"
93,5266.95648300194,"32.3411,4.8407,30.4138"
94,5245.641667114559,"32.4372,5.0462,30.5668"
95,5289.774685265649,"32.5551,5.2351,30.703"
96,5345.618504764736,"32.6876,5.296,30.9539"
97,5303.69221919311,"32.8982,5.2998,31.1859"
98,5232.454321444345,"33.0638,5.4001,31.3588"
99,5302.117904681009,"33.0496,5.7506,31.4521"
100,5296.00875593608,"33.2476,5.7846,31.6463"
101,5324.923965248521,"33.4602,6.0106,31.6315"
102,5231.803759954114,"33.6246,6.1906,31.7186"
103,5261.302104816148,"33.8493,6.1814,31.8984"
104,5344.942192250901,"33.8492,6.4822,32.0161"
105,5313.224812666219,"34.0857,6.5731,32.0984"
106,5281.686699520669,"34.297,6.7577,32.1088"
107,5250.9801141556645,"34.4644,6.8323,32.2645"
108,5311.731933722315,"34.5031,7.1041,32.3462"
109,5310.438127091429,"34.6443,7.1928,32.5114"
110,5262.405865616048,"34.7601,7.3137,32.6692"
111,5330.717223241693,"34.8884,7.4215,32.8091"
112,5303.4391305635845,"35.0291,7.5505,32.9302"
113,5345.953619600882,"35.0863,7.6444,33.1618"
114,5377.091705041455,"35.2135,7.6802,33.3877"
115,5325.10994962705,"35.3489,7.7303,33.5859"
116,5294.914310213015,"35.3985,7.757,33.8686"
117,5308.352156534047,"35.3842,7.9318,34.0784"
118,5341.855808535487,"35.6018,7.9928,34.157"
119,5307.903571958259,"35.7667,8.0325,34.3123"
120,5300.672845660522,"36.0108,8.0457,34.3997"
121,5285.941542681669,"36.0761,8.1544,34.5754"
122,5252.6531001995445,"36.1602,8.302,34.6925"
123,5326.525381906519,"36.2255,8.4073,34.8609"
124,5345.299674460464,"36.404,8.5079,34.9282"
125,5290.117059367514,"36.6228,8.5775,34.9781"
126,5333.327133961858,"36.6401,8.7705,35.1029"
127,5301.788996210017,"36.8258,8.7961,35.2251"
128,5278.516102353262,"37.0606,8.8692,35.2435"
129,5287.429430364881,"37.0245,9.1085,35.3652"
130,5346.537142972164,"37.1054,9.2751,35.4381"
131,5325.727519904317,"37.3285,9.2888,35.5225"
132,5338.223281911604,"37.2734,9.4555,35.7356"
133,5331.564035329979,"37.4392,9.6521,35.6922"
134,5257.908542245629,"37.4528,9.8571,35.7944"
