iteration,mean_cost,theta
1,2750.803676808829,"0.0,0.0,0.0"
2,2786.171243734429,"0.6989,-0.0592,0.7314"
3,2747.1160032979074,"1.4827,-0.0541,1.3193"
4,2743.22631065979,"2.2379,-0.1138,1.9607"
5,2776.4424038727357,"2.9666,-0.0928,2.5571"
6,2795.423334495672,"3.6941,-0.1163,3.1886"
7,2744.82556196465,"4.4691,-0.1315,3.7493"
8,2738.410584820382,"5.2051,-0.1109,4.2724"
9,2813.4438107893197,"5.9198,-0.1407,4.8614"
10,2786.4394672326207,"6.6749,-0.1989,5.4497"
11,2734.05834224812,"7.2702,-0.1461,6.0976"
12,2759.5495220914663,"7.935,-0.1658,6.6892"
13,2706.7269003045117,"8.556,-0.1778,7.3075"
14,2762.1533557437874,"9.1588,-0.1386,7.8782"
15,2787.9612411064522,"9.8395,-0.1076,8.3876"
16,2738.136002536466,"10.489,-0.0765,8.9333"
17,2742.0841205012407,"11.0252,-0.0385,9.5592"
18,2730.0095822346043,"11.6579,0.0289,10.0505"
19,2747.8097588593064,"12.2934,0.0407,10.5507"
20,2696.328048066063,"12.9256,0.0847,11.025"
21,2704.744815838151,"13.4893,0.2219,11.4599"
22,2761.9607340951165,"14.0365,0.3426,11.9261"
23,2723.2008566105583,"14.6815,0.3772,12.3713"
24,2740.603470304102,"15.2343,0.4184,12.8949"
25,2749.670807899549,"15.7862,0.4612,13.415"
26,2718.7865685068978,"16.3698,0.5613,13.841"
27,2740.3584026949907,"16.8354,0.6978,14.3388"
28,2726.5530398197166,"17.4151,0.864,14.6746"
29,2732.8864576006354,"17.9181,0.9149,15.1837"
30,2696.1234186158235,"18.3282,1.1007,15.6529"
31,2733.762624453662,"18.8206,1.2772,16.0238"
32,2710.2699993346528,"19.3189,1.3376,16.5067"
33,2714.0188548039405,"19.713,1.5012,16.9876"
34,2737.572019401504,"20.1914,1.626,17.3935"
35,2747.283690593131,"20.6705,1.7884,17.7628"
36,2756.887887640023,"21.1239,1.9194,18.1894"
37,2722.857618997713,"21.5049,2.0777,18.66"
38,2735.368586547922,"21.901,2.1892,19.1321"
39,2741.5143158307787,"22.2841,2.3382,19.5906"
40,2722.350690273821,"22.5831,2.5232,20.0814"
41,2734.8678943136024,"22.9477,2.7366,20.4639"
42,2700.21098438967,"23.4042,2.8162,20.8641"
43,2729.3409746222687,"23.8815,3.0108,21.1143"
44,2706.898787322791,"24.2228,3.1705,21.5405"
45,2738.714297076193,"24.6142,3.3636,21.8601"
46,2669.576204651744,"25.052,3.4553,22.2521"
47,2770.5315670681553,"25.4528,3.7357,22.4363"
48,2737.7223773796873,"25.7756,3.9292,22.8457"
49,2694.876310971379,"26.1357,4.1141,23.1913"
50,2758.6612425420944,"26.4088,4.3118,23.5871"
51,2733.7453632864763,"26.7584,4.5248,23.9118"
52,2686.905684519623,"26.9865,4.8361,24.2371"
53,2688.588477458036,"27.1853,5.0754,24.6342"
54,2754.802362967735,"27.5516,5.231,24.9269"
55,2711.3921564473526,"28.0443,5.442,25.048"
56,2709.9386239934474,"28.431,5.6881,25.2286"
57,2684.211975060374,"28.7165,5.9679,25.4764"
58,2732.6053688123397,"29.0948,6.1663,25.6807"
59,2702.473890120295,"29.4217,6.4493,25.8871"
60,2690.264031010588,"29.6761,6.7494,26.1221"
61,2676.948536029961,"30.0058,6.8915,26.4192"
62,2717.2122827017765,"30.1601,7.202,26.7058"
63,2726.2107262377976,"30.4516,7.5219,26.855"
64,2736.7572573118414,"30.6867,7.7651,27.1506"
65,2702.624072110197,"31.0369,7.8969,27.4248"
66,2725.6824052168254,"31.3018,7.978,27.8105"
67,2693.333262879713,"31.6226,8.2146,27.9972"
68,2724.6784870905763,"31.8244,8.441,28.2888"
69,2699.6547134241596,"32.0877,8.5667,28.6217"
70,2696.827225023399,"32.3255,8.6793,28.9783"
71,2710.604281806921,"32.4891,8.9249,29.2673"
72,2696.3969332523843,"32.7681,9.1578,29.4461"
73,2737.3063815627434,"33.0286,9.3902,29.6387"
74,2693.2659508082543,"33.2318,9.5951,29.9298"
75,2726.8691464830194,"33.4148,9.8338,30.1795"
76,2710.0578117309897,"33.6575,10.0847,30.3707"
77,2711.1739861615497,"33.9983,10.2184,30.5598"
78,2722.770430610678,"34.1557,10.4944,30.7861"
79,2705.029764274044,"34.3434,10.6755,31.0799"
80,2732.490788552663,"34.5546,10.9039,31.2774"
81,2755.7292308831015,"34.6889,11.1649,31.542"
82,2743.622074631687,"35.054,11.2633,31.7228"
83,2716.524351098892,"35.2787,11.4134,31.986"
84,2735.78297175013,"35.4831,11.6069,32.2044"
85,2721.505589073314,"35.8203,11.7256,32.3587"
86,2734.670994836371,"36.0922,11.8855,32.5352"
87,2752.9381950949155,"36.3836,12.0417,32.6999"
88,2702.1479660862055,"36.5203,12.2242,33.0026"
89,2724.202139745171,"36.7293,12.4153,33.1849"
90,2733.419145439853,"36.9899,12.6009,33.3208"
91,2757.427482113578,"37.2683,12.6999,33.5186"
92,2726.1951157362537,"37.4556,12.8178,33.8088"
93,2693.7142163142807,"37.7041,12.9881,33.9563"
94,2695.60774810503,"37.8573,13.2058,34.1339"
95,2692.8691359032046,"38.0242,13.3192,34.4013"
96,2737.9830673276656,"38.1712,13.6125,34.4953"
97,2738.3515765533452,"38.385,13.7502,34.6931"
98,2692.0121664396056,"38.5917,13.8925,34.8986"
99,2700.655178032954,"38.9087,14.0203,34.9668"
100,2759.995211535634,"39.0187,14.2383,35.1615"
101,2754.087235065665,"39.3176,14.3286,35.3171"
102,2727.8132952003753,"39.3922,14.5288,35.5892"
103,2720.6669096667792,"39.4693,14.6451,35.92"
104,2725.7593073828402,"39.604,14.823,36.1261"
105,2713.9138898397955,"39.8009,15.077,36.1831"
106,2706.3814709856665,"39.9361,15.2109,36.4147"
107,2726.846817123257,"40.0882,15.3203,36.6405"
108,2690.95881294418,"40.2634,15.5434,36.7255"
109,2701.403830562308,"40.3807,15.717,36.9026"
110,2715.242484616325,"40.4921,15.7512,37.2335"
111,2700.8893788165956,"40.535,16.0383,37.3813"
112,2705.9123820287905,"40.8033,16.1204,37.4862"
113,2706.8360522053968,"40.966,16.2536,37.6487"
114,2736.5631158653337,"41.0542,16.3563,37.9136"
115,2706.661741150678,"41.1314,16.5178,38.1415"
