iteration,mean_cost,theta
1,17778.026146827477,"0.0,0.0,0.0,0.0,0.0"
2,17729.12683914185,"0.6808,0.2532,-0.3526,-0.503,-0.3434"
3,17759.352192168444,"1.3706,0.5012,-0.7609,-0.9456,-0.6757"
4,17616.018341317893,"2.0155,0.8024,-1.0583,-1.452,-1.1491"
5,17377.399166721,"2.6138,1.1679,-1.3588,-1.886,-1.7419"
6,17531.011027319615,"3.28,1.3918,-1.6063,-2.3956,-2.1933"
7,17415.73233299505,"3.9202,1.6759,-1.9175,-2.8633,-2.6486"
8,17364.36195572827,"4.539,1.9689,-2.2155,-3.4591,-2.9111"
9,17335.84331195434,"5.1125,2.3152,-2.4398,-4.1541,-3.1681"
10,17132.750908014208,"5.7527,2.5837,-2.7434,-4.8141,-3.3373"
11,17324.8226947735,"6.3135,2.9146,-2.9312,-5.4497,-3.6798"
12,17121.2112317697,"6.9424,3.1988,-3.2438,-6.0397,-3.9472"
13,17052.333392350054,"7.5325,3.4925,-3.5102,-6.6369,-4.1988"
14,16966.482579412703,"8.1417,3.7752,-3.802,-7.1921,-4.4986"
15,16753.05411640067,"8.7191,4.0832,-3.992,-7.8669,-4.7798"
16,16982.53033632718,"9.2993,4.355,-4.2357,-8.5455,-4.8468"
17,16752.605381159297,"9.853,4.7034,-4.4878,-9.2769,-4.9682"
18,16700.5821939094,"10.4086,5.0451,-4.7227,-9.9199,-5.2429"
19,16622.201814538705,"11.0015,5.3207,-4.9693,-10.5397,-5.4657"
20,16723.247324709224,"11.5804,5.6461,-5.2221,-11.1881,-5.7216"
21,16631.04805260907,"12.146,5.937,-5.3454,-11.9352,-5.9536"
22,16672.302943127575,"12.6443,6.3388,-5.6005,-12.6687,-6.0366"
23,16588.739800740226,"13.1543,6.6817,-5.8262,-13.401,-6.0731"
24,16359.278664291343,"13.7595,6.963,-6.133,-14.1194,-6.0773"
25,16507.385487147887,"14.2562,7.3374,-6.444,-14.7548,-6.0999"
26,16568.03330210357,"14.8058,7.662,-6.7375,-15.4518,-6.1135"
27,16492.18478059765,"15.3535,8.0107,-7.0739,-16.0783,-6.2055"
28,16397.611971188635,"15.846,8.3918,-7.3716,-16.8036,-6.1267"
29,16365.199937846994,"16.36,8.7349,-7.5981,-17.3476,-6.3858"
30,16285.819102296808,"16.8661,9.0406,-7.8738,-17.9508,-6.3668"
31,16256.111942666303,"17.3563,9.3685,-8.0773,-18.7316,-6.2398"
32,16328.807133227312,"17.7204,9.8327,-8.3459,-19.4566,-6.0269"
33,16212.159392618967,"18.248,10.1683,-8.5901,-20.0973,-6.1505"
34,16193.261316949658,"18.5573,10.6374,-8.7355,-20.8117,-6.0317"
35,16281.569786598722,"19.0691,10.7667,-8.8575,-21.4365,-5.851"
36,16153.465935413109,"19.5802,10.8892,-9.091,-21.9619,-5.5792"
37,16250.92025430274,"20.127,11.0533,-9.3636,-22.3107,-5.6539"
38,16199.862254778023,"20.5529,11.4324,-9.6452,-22.6467,-5.9416"
39,16255.237773583762,"21.0602,11.6231,-10.054,-22.9331,-5.8219"
40,16142.88267331059,"21.3732,11.8641,-10.1974,-23.289,-5.6334"
41,16121.752761572592,"21.5583,12.1701,-10.2309,-23.7111,-5.3533"
42,16228.072820147187,"21.7571,12.5843,-10.3697,-23.9843,-5.3968"
43,16296.751298880235,"22.0236,13.0163,-10.4217,-24.49,-5.5299"
44,16213.700903701005,"22.3063,12.9838,-10.3086,-24.7424,-5.2298"
45,16255.554546288915,"22.4668,13.0225,-10.3076,-24.532,-5.2003"
46,16230.32322565918,"22.5884,13.2743,-10.3985,-24.3735,-5.3353"
47,16286.062415424201,"22.8828,13.5134,-10.4311,-24.8069,-5.2564"
48,16166.609461157605,"23.0446,13.8637,-10.6429,-24.7551,-5.4027"
49,16281.480777917493,"23.2305,14.0075,-10.5441,-24.9879,-5.2889"
