iteration,mean_cost,theta
1,7725.908655516521,"0.0,0.0"
2,7630.257724444337,"0.8241,-0.3267"
3,7649.450980754184,"1.6568,-0.7163"
4,7638.075906258306,"2.4573,-1.0251"
5,7587.957038861287,"3.2672,-1.3681"
6,7629.168459583871,"4.0716,-1.7226"
7,7600.59164505422,"4.8601,-2.0576"
8,7562.836591531917,"5.6489,-2.4107"
9,7505.032820554682,"6.4339,-2.781"
10,7530.76858661589,"7.1994,-3.1261"
11,7426.272484511886,"7.9683,-3.4712"
12,7496.0751966558255,"8.718,-3.8101"
13,7429.720684342244,"9.478,-4.1648"
14,7461.33676056258,"10.2171,-4.4961"
15,7322.5805722837695,"10.9642,-4.8692"
16,7332.084746225143,"11.6815,-5.1866"
17,7395.955717122574,"12.4186,-5.5529"
18,7280.179361263113,"13.1579,-5.9352"
19,7332.726162401497,"13.8573,-6.2357"
20,7220.041844017586,"14.5745,-6.5802"
21,7297.35485080178,"15.2606,-6.881"
22,7175.241417207434,"15.9783,-7.2709"
23,7247.966208864681,"16.6583,-7.5783"
24,7247.376272419455,"17.3494,-7.9374"
25,7184.399285899445,"18.0149,-8.2209"
26,7098.6586850400645,"18.6885,-8.5327"
27,7197.337769823541,"19.3192,-8.77"
28,7165.3360322865165,"19.974,-9.076"
29,7102.488735667784,"20.576,-9.2296"
30,7070.2296631284835,"21.2093,-9.4901"
31,7104.364394469477,"21.8242,-9.7385"
32,7061.423341875867,"22.3941,-9.8629"
33,7102.999130688515,"22.9695,-10.0275"
34,7147.357893379863,"23.565,-10.2576"
35,7071.873232078693,"24.1232,-10.3775"
36,7048.263984117515,"24.6881,-10.5375"
37,7035.739490837092,"25.2327,-10.659"
38,7064.074412313958,"25.7128,-10.6306"
39,7065.07685807339,"26.2183,-10.6735"
40,7047.214967655032,"26.7135,-10.6963"
41,7096.121576587891,"27.2153,-10.7604"
42,7027.101311322207,"27.7529,-10.9132"
43,7110.216149561485,"28.2454,-10.9749"
44,7019.959974186937,"28.7469,-11.0491"
45,7031.178858911262,"29.1633,-10.9352"
46,7011.137723360449,"29.6485,-11.0164"
47,7002.024797009451,"30.0459,-10.8781"
48,7038.985409132496,"30.4331,-10.7231"
49,7034.0224483834145,"30.851,-10.6585"
50,7044.2143033331595,"31.2531,-10.5647"
51,6995.842883170702,"31.6451,-10.4479"
52,7014.46594338292,"32.0526,-10.3985"
53,6983.25779335176,"32.4044,-10.2107"
54,6968.161497991209,"32.7914,-10.1318"
55,6977.47454921425,"33.165,-10.0338"
56,7008.327869610565,"33.4484,-9.7119"
57,6954.775152444496,"33.8297,-9.6401"
58,6967.5289433897815,"34.1781,-9.5108"
59,6998.586425449734,"34.4879,-9.2925"
60,6972.786028307028,"34.7481,-8.9515"
61,6957.794102691335,"35.0619,-8.7542"
62,7013.667631789951,"35.376,-8.5699"
63,7012.780838966344,"35.7078,-8.4314"
64,7054.496631648808,"35.9992,-8.2061"
65,6976.359836546381,"36.2651,-7.9116"
66,6976.636294803155,"36.5928,-7.7978"
67,7013.89849584195,"36.8373,-7.4925"
68,7034.368542726972,"37.1567,-7.3721"
69,6950.940437859027,"37.4457,-7.1742"
70,6969.298027237386,"37.757,-7.0704"
71,7059.306404853265,"37.9914,-6.7747"
72,6965.593899732243,"38.2093,-6.4318"
73,6981.381348854738,"38.4776,-6.2397"
74,7004.122668456295,"38.7321,-6.0143"
75,7026.7382960164505,"38.978,-5.7762"
76,6966.277716259392,"39.227,-5.5503"
77,7061.669213754507,"39.4595,-5.3028"
78,6976.324241368636,"39.7826,-5.2676"
79,7057.914066136652,"40.0641,-5.15"
80,6973.847566832618,"40.282,-4.8602"
81,7011.661817524216,"40.4841,-4.5652"
82,7043.607937310586,"40.7091,-4.3319"
83,7012.616457360576,"40.8823,-3.9693"
84,6944.089585006573,"41.0516,-3.6096"
85,6984.583375887618,"41.2112,-3.2546"
86,7023.355065365683,"41.531,-3.2973"
87,7019.139043555082,"41.7512,-3.0861"
88,6983.259109624582,"42.0028,-2.9592"
89,7044.592831208425,"42.2884,-2.9356"
90,7001.900370113796,"42.4957,-2.709"
91,6954.283488732978,"42.7394,-2.5835"
92,7010.17781885792,"43.0078,-2.5453"
93,6982.287745542125,"43.1507,-2.1931"
94,6990.715868290339,"43.347,-1.9756"
95,6977.818412496826,"43.5707,-1.8415"
96,6991.960768651381,"43.7616,-1.637"
97,7024.278457652576,"43.987,-1.5187"
98,6937.9218669148095,"44.1678,-1.2846"
99,6967.425829554687,"44.2686,-0.8855"
100,7035.863039664873,"44.5254,-0.8647"
101,7024.035767575677,"44.671,-0.5652"
102,7041.867537120311,"44.8506,-0.3532"
103,6960.921687652872,"45.0643,-0.2313"
104,7018.018000456085,"45.213,0.029"
105,7036.229222192124,"45.4628,0.035"
106,7023.796431260723,"45.6447,0.211"
107,7013.284936874902,"45.831,0.3755"
108,7016.91869909048,"45.9918,0.5881"
109,6993.264772150399,"46.1677,0.7592"
110,6989.150892897413,"46.3407,0.9315"
111,6992.098054194397,"46.503,1.1161"
112,6985.013751977334,"46.5801,1.4955"
113,7002.679020393425,"46.7946,1.5383"
114,7088.284894576308,"47.0182,1.5658"
115,7004.572942154033,"47.1794,1.7549"
116,6956.318567366704,"47.318,1.9732"
117,7009.4302005660775,"47.4587,2.1741"
118,7033.6427322358595,"47.5998,2.3761"
119,7073.295885537048,"47.76,2.5369"
120,7010.675866107686,"47.9571,2.6107"
121,6911.563899039021,"48.1482,2.6738"
122,6991.967884597781,"48.2984,2.8097"
123,7036.985672683545,"48.4005,3.079"
124,7093.992390244337,"48.6027,3.1052"
125,6998.810104481801,"48.7443,3.2915"
126,7045.809067025336,"48.8885,3.4443"
127,7048.9991002211955,"49.0872,3.4721"
128,7002.33915984056,"49.2709,3.5327"
129,6983.130646505867,"49.3281,3.8786"
130,7106.685312962891,"49.4592,4.0369"
131,6907.58232089606,"49.6003,4.2"
132,7027.887301794466,"49.6894,4.4293"
133,7007.015368807963,"49.8547,4.504"
134,7005.7072051224695,"49.9593,4.7121"
135,7053.801044364211,"50.0653,4.914"
136,7099.9606639214035,"50.188,5.0871"
137,7024.08771004462,"50.3032,5.2797"
138,7018.437347360134,"50.4294,5.4177"
139,7056.296403618373,"50.5533,5.5623"
140,7053.600446157603,"50.6489,5.7779"
141,7063.370064213157,"50.8057,5.8331"
142,7037.717266779522,"51.0078,5.7818"
143,6980.280798885729,"51.1109,5.9585"
144,7016.00716969392,"51.2822,5.9581"
145,7023.620869333906,"51.3606,6.1851"
146,6992.4653835799245,"51.4769,6.317"
147,7087.663543483376,"51.5774,6.4753"
148,6996.340984537976,"51.721,6.5402"
149,6983.336888046111,"51.8493,6.6258"
150,6985.571284640222,"51.9885,6.6767"
151,6983.414111685412,"52.0851,6.8299"
152,7010.305582009035,"52.2487,6.8123"
153,6943.234693102593,"52.3365,6.9801"
154,7079.068012285466,"52.4441,7.0832"
155,7067.13017369371,"52.5626,7.1901"
156,7058.601531315235,"52.7173,7.197"
157,7054.471596139303,"52.7727,7.4408"
158,7031.016355869843,"52.8695,7.581"
159,6948.634930124697,"52.935,7.7944"
160,7052.062557506101,"53.0828,7.7752"
161,7020.261217601788,"53.1885,7.8813"
162,6961.537926954412,"53.2915,7.9845"
163,6977.444905539666,"53.3858,8.0949"
164,7016.179005913103,"53.4781,8.2036"
165,7014.012553578777,"53.5248,8.4339"
166,6988.557661391986,"53.5863,8.6299"
167,7028.465520274917,"53.6812,8.7322"
168,7035.125654658703,"53.7957,8.7914"
169,7058.090563561302,"53.8785,8.9234"
170,7042.143712366565,"53.9848,8.997"
171,7108.243003104948,"54.0522,9.1627"
172,6996.849189657125,"54.173,9.2044"
173,6984.628060924367,"54.2434,9.3509"
174,6960.947121630426,"54.2895,9.5501"
175,7008.499870057205,"54.3481,9.7044"
176,6982.241466960459,"54.4331,9.8028"
177,7043.279534254834,"54.5468,9.8197"
178,7069.450323505606,"54.6046,9.9879"
179,7038.024773333179,"54.7138,10.0341"
180,7053.664285848047,"54.7636,10.2122"
181,7018.394944306322,"54.9319,10.105"
182,7062.410907026647,"54.9976,10.2326"
183,7034.033459223338,"55.0968,10.2851"
184,6969.50961149256,"55.2266,10.255"
185,6988.557874427574,"55.3298,10.2712"
186,7052.5326627602035,"55.3603,10.465"
187,6933.0419609829105,"55.5018,10.4033"
188,7053.868268582218,"55.6249,10.3516"
189,7027.900621444368,"55.7443,10.3313"
190,7010.268387734142,"55.8237,10.4088"
191,7043.082302950496,"55.8523,10.5963"
192,7108.92992779964,"55.9417,10.6463"
193,7037.574602306601,"56.012,10.7601"
194,7038.129016142218,"56.1111,10.7858"
195,7042.997435501955,"56.1539,10.9421"
196,7046.311120069837,"56.1442,11.221"
197,6977.099586635923,"56.2864,11.1265"
198,6948.968036722066,"56.3908,11.1007"
199,6991.970001615754,"56.4291,11.2326"
200,7027.071886962827,"56.4228,11.4825"
201,6977.12688554144,"56.518,11.4825"
202,7047.21932965584,"56.5744,11.5725"
203,7011.019390161615,"56.6678,11.5851"
204,7027.322261693518,"56.7227,11.6773"
205,7054.078563272915,"56.7851,11.7517"
206,6958.309986634831,"56.9035,11.6983"
207,7031.219282083104,"56.9384,11.8197"
208,7005.288753832712,"56.9417,12.0366"
209,7062.102150131458,"57.0931,11.8784"
210,7017.115959801219,"57.1339,12.0128"
211,7037.127149272092,"57.1111,12.2824"
212,6980.1934049043675,"57.1922,12.3036"
213,6959.176463519918,"57.2478,12.3741"
214,6963.572192193949,"57.2786,12.4973"
215,7015.1433170701275,"57.3288,12.5674"
216,7037.456325127066,"57.3879,12.6287"
217,7046.860637100101,"57.4487,12.6869"
218,7025.246468733187,"57.5259,12.7055"
219,6969.3647352747375,"57.5953,12.7418"
220,7017.212977655693,"57.6625,12.7589"
221,7029.533102122959,"57.6847,12.9002"
222,7088.992300490197,"57.715,13.0232"
223,6961.013723528525,"57.8376,12.9296"
224,7021.083625761346,"57.896,12.9579"
225,7003.500726774235,"57.9883,12.9241"
226,7032.80928001647,"58.0475,12.9604"
227,7028.066975759853,"58.1222,12.9622"
228,7048.347998919557,"58.1379,13.1092"
229,6981.379422744557,"58.22,13.0951"
230,7024.395602265519,"58.2328,13.2331"
231,7003.178117510734,"58.2308,13.4168"
232,7094.984443374336,"58.3442,13.314"
233,6953.563917780157,"58.3893,13.4001"
234,7044.3468314702495,"58.4108,13.5055"
235,7003.443780224052,"58.4569,13.5687"
236,6998.716292937635,"58.4864,13.6593"
237,7018.20283892184,"58.5382,13.6975"
238,7060.032563889256,"58.6179,13.6652"
239,7079.305473137332,"58.6644,13.7353"
