iteration,mean_cost,theta
1,2399.245112734424,"0.0,0.0,0.0,0.0,0.0"
2,2444.7157353205275,"0.8945,0.486,0.0659,-0.2353,0.0722"
3,2406.842028863548,"1.7375,1.1464,0.0616,-0.4887,0.0303"
4,2393.637818861201,"2.608,1.6099,0.1598,-0.5887,-0.1203"
5,2361.6426568080274,"3.4708,1.9887,0.3561,-0.8778,-0.0195"
6,2428.9762167124095,"4.2612,2.462,0.5648,-1.2372,0.0751"
7,2391.2666432930996,"5.1438,2.9085,0.7141,-1.5444,0.06"
8,2344.595646723182,"5.9615,3.357,0.8675,-1.7757,-0.0052"
9,2393.639842738662,"6.828,3.7179,0.9405,-2.0121,0.0806"
10,2349.5407029854264,"7.7364,4.1275,0.9247,-2.2826,0.1541"
11,2340.4571389489442,"8.5238,4.536,1.1604,-2.451,-0.0505"
12,2347.1200388200796,"9.3132,4.9907,1.2568,-2.707,-0.0746"
13,2319.1774200145783,"10.0942,5.3897,1.3079,-2.9302,0.1036"
14,2359.978620816119,"10.7963,5.8543,1.4675,-3.1004,0.0874"
15,2365.253319558108,"11.5708,6.2976,1.5155,-3.3782,0.1798"
16,2305.7922841523978,"12.3882,6.7444,1.4428,-3.5669,0.2569"
17,2322.5808505029872,"13.0934,7.1729,1.5919,-3.7801,0.2424"
18,2281.3358278114606,"13.8136,7.6183,1.6048,-3.8868,0.2717"
19,2334.800917214091,"14.4721,8.1426,1.6396,-4.1422,0.3501"
20,2394.262071327673,"15.2204,8.4876,1.7035,-4.2255,0.363"
21,2300.050634845361,"15.8376,9.028,1.9053,-4.537,0.4361"
22,2378.264752203358,"16.4317,9.4961,2.115,-4.7324,0.4549"
23,2336.039605026812,"17.1602,9.9445,2.0769,-4.909,0.5516"
24,2317.129804974963,"17.8408,10.3254,2.1366,-5.0219,0.6634"
25,2336.7815820271435,"18.5133,10.6613,2.2104,-5.2157,0.9141"
26,2306.304280744862,"19.1524,11.0431,2.3171,-5.4717,1.173"
27,2346.515834856398,"19.7502,11.4816,2.3757,-5.6018,1.2659"
28,2340.250465210283,"20.3401,11.9367,2.4518,-5.9142,1.5474"
29,2283.530956374135,"20.9681,12.3371,2.4232,-5.9386,1.7128"
30,2284.201481135625,"21.502,12.7864,2.5067,-6.0027,1.8089"
31,2340.9523355647207,"22.0344,13.1984,2.6085,-6.2975,2.132"
32,2272.991036123052,"22.5739,13.577,2.7564,-6.4,2.3155"
33,2300.3674781624272,"23.0077,13.952,2.9491,-6.4004,2.5379"
34,2357.372398096059,"23.5876,14.2317,3.0632,-6.3979,2.6607"
35,2347.903706112206,"24.1296,14.5632,3.3002,-6.5947,2.8445"
36,2286.90846312592,"24.5886,15.0433,3.4371,-6.6655,2.9801"
37,2247.0844537945236,"25.1058,15.3666,3.4987,-6.573,3.0696"
38,2315.863867417944,"25.6312,15.6124,3.5689,-6.4945,3.2204"
39,2274.6502374313477,"26.0958,16.0108,3.7265,-6.6679,3.4595"
40,2298.682990392416,"26.4767,16.3757,3.9358,-6.5889,3.5512"
41,2328.152205783234,"26.9389,16.7015,4.1869,-6.7368,3.6842"
42,2298.6293466630423,"27.451,17.0458,4.1953,-6.6794,3.8179"
43,2315.6298116945295,"27.9528,17.3341,4.3085,-6.6773,3.9101"
44,2310.3710970654747,"28.4126,17.5673,4.4472,-6.4955,4.038"
45,2264.5870023944562,"28.746,17.9083,4.7256,-6.4103,4.1273"
46,2299.7850403024513,"29.2485,18.0909,4.786,-6.4051,4.4481"
47,2317.653557360526,"29.6205,18.4714,4.9391,-6.52,4.712"
48,2288.382363186118,"30.0997,18.652,5.0637,-6.5217,5.0374"
49,2264.7724626050776,"30.5114,18.9794,5.1323,-6.3863,5.0881"
50,2301.874870443274,"30.8649,19.2569,5.3334,-6.3459,5.2714"
51,2312.9912309219158,"31.3117,19.515,5.5208,-6.3161,5.31"
52,2269.245808385372,"31.6088,19.8275,5.7393,-6.2034,5.5251"
53,2275.55135838962,"31.8,20.2411,5.951,-5.9558,5.5911"
54,2334.0843733655115,"32.1212,20.5003,6.0336,-5.8873,5.9819"
55,2314.8429606914005,"32.6135,20.7205,6.2009,-6.0467,6.1086"
56,2325.740366541788,"33.0055,21.0136,6.231,-6.0141,6.4049"
57,2274.789125418822,"33.3522,21.3589,6.3956,-5.9935,6.5105"
58,2307.2590206971377,"33.6941,21.6309,6.4832,-5.9915,6.8231"
59,2301.702722904336,"33.9256,22.1269,6.5502,-6.2198,7.3114"
60,2285.70717054048,"34.1966,22.4463,6.7706,-6.2363,7.5503"
61,2289.7281522629905,"34.5377,22.6766,6.9472,-6.2901,7.8431"
62,2299.4854584320074,"34.755,23.0084,7.1196,-6.2006,8.1131"
63,2308.378908960961,"35.0585,23.2719,7.4228,-6.4576,8.4116"
64,2325.089834420774,"35.267,23.7177,7.5469,-6.3447,8.4975"
65,2285.4874578037297,"35.5156,23.9665,7.7759,-6.1877,8.6701"
66,2314.9908015283595,"35.8494,24.1514,7.9294,-6.0908,8.8125"
67,2278.220113798032,"36.1977,24.4079,8.121,-6.1321,8.8809"
68,2310.276868289423,"36.4623,24.5889,8.3112,-5.9863,9.0795"
69,2256.298299261437,"36.7964,24.7162,8.373,-5.7835,9.3825"
70,2288.592422828032,"37.0889,24.9613,8.3757,-5.6348,9.6232"
71,2300.624229252691,"37.3814,25.1135,8.5056,-5.4783,9.8799"
72,2273.059801152281,"37.6229,25.396,8.5801,-5.4124,10.1997"
73,2296.712357185496,"37.9033,25.6542,8.7721,-5.3786,10.1917"
74,2289.96695167393,"38.1631,25.9135,8.9598,-5.4023,10.3728"
75,2310.581259029162,"38.3416,26.0861,9.2013,-5.235,10.6485"
76,2282.3374854305735,"38.5972,26.3808,9.4386,-5.39,10.7902"
77,2317.7085216241057,"38.9486,26.4516,9.5347,-5.269,11.0247"
78,2272.9349843181017,"39.1613,26.7472,9.6897,-5.129,11.0775"
79,2295.0338034901883,"39.399,26.9057,9.7853,-4.9283,11.3211"
80,2274.0436351046687,"39.6463,27.0892,9.8987,-4.9154,11.662"
81,2304.277507017859,"39.8622,27.2817,10.1734,-4.759,11.5756"
82,2320.7957917273284,"40.1269,27.5938,10.1161,-4.6855,11.7945"
83,2280.4166775222957,"40.3135,27.7456,10.1835,-4.3303,12.076"
84,2324.6827361145733,"40.5985,27.9126,10.3661,-4.3779,12.2071"
85,2317.70509561622,"40.852,28.1272,10.3834,-4.0867,12.2552"
86,2350.120819983457,"41.1203,28.3234,10.4524,-4.0637,12.5366"
87,2315.2136306383595,"41.4027,28.4712,10.5386,-4.1234,12.9819"
88,2300.3625280300325,"41.4745,28.6582,10.6415,-3.685,13.2815"
89,2315.7179971852047,"41.6475,28.8064,10.931,-3.5464,13.3365"
90,2302.15338316857,"41.855,29.0399,11.0866,-3.4869,13.4551"
91,2254.354821987283,"42.1301,29.2549,11.0943,-3.5038,13.7093"
92,2322.694476224313,"42.2843,29.3477,11.1778,-3.1588,13.9284"
93,2281.034281462361,"42.4611,29.5499,11.4211,-2.9793,13.8485"
94,2294.4157187243413,"42.6421,29.756,11.4573,-2.9249,14.2114"
95,2309.27956865255,"42.7336,29.9641,11.7666,-2.847,14.3054"
96,2317.852341072616,"42.9504,30.1787,11.923,-2.7472,14.2463"
97,2301.901463555136,"43.1744,30.2838,12.0167,-2.6095,14.5072"
98,2302.2113939726123,"43.3206,30.4008,12.2294,-2.4831,14.7528"
99,2296.025258250093,"43.5988,30.4679,12.4152,-2.3436,14.6667"
100,2311.804887569086,"43.8384,30.6168,12.4791,-2.3414,14.9033"
101,2309.815873157054,"44.1453,30.6965,12.4645,-2.2257,15.1299"
102,2283.1056047471225,"44.3065,30.8973,12.6047,-2.0939,15.2024"
103,2280.8393375150977,"44.4628,31.0216,12.7978,-1.8671,15.1741"
104,2323.085330529263,"44.5981,31.2145,12.8908,-1.6204,15.1875"
105,2334.3905888685276,"44.6984,31.5094,13.0208,-1.5511,15.313"
106,2277.3744322401126,"44.8964,31.7361,13.1529,-1.4661,15.2754"
107,2323.488986098184,"45.0424,31.8145,13.2739,-1.2644,15.5095"
108,2288.900991085807,"45.2614,31.9763,13.3439,-1.3259,15.7804"
109,2281.0395448648956,"45.3806,32.1107,13.4171,-0.8833,15.7289"
110,2313.815663791257,"45.4806,32.2695,13.5062,-0.6079,15.8582"
111,2299.1700011436733,"45.5278,32.5242,13.7669,-0.3889,15.6967"
112,2300.8754521505853,"45.679,32.6586,13.9257,-0.213,15.7178"
113,2281.3786043769574,"45.868,32.7977,13.9932,-0.0896,15.814"
114,2313.1230627762848,"45.9199,32.8611,14.1501,0.0841,16.2509"
115,2312.0937139351604,"46.0406,32.9723,14.0858,0.4746,16.5505"
116,2276.3398294931303,"46.1831,33.1978,14.1175,0.5636,16.6968"
