Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-6676.37,301.62,86.78,285.36
imitation_learning,-6876.85,301.71,20075.56,10285.2
myopic,-7618.03,443.5,937.46,560.43
genetic_programming,-6781.88,324.79,2028.11,950.0
linear_value_function_approximation,-6894.24,359.84,2846.96,1811.39
deep_q_networks,-6821.34,354.22,38152.81,13627.31
point_estimate_lookahead,-6882.86,324.67,1150228.14,2348483.7
distributional_estimate_lookahead,-6790.99,329.41,2659490.23,7163081.8
linear_programming_heuristic,-6828.29,303.26,2452026.96,6990705.82
linear_programming_exact,-6772.1,329.24,6164276.6,7159904.16
parameterized_lookahead_approximation,-6782.29,326.65,2667944.43,6992557.71
proximal_policy_optimization,-6815.53,343.53,103835.34,20328.6
