Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-3408.81,245.73,67.257881,252.579656
point_estimate_lookahead,-3496.0,258.05,6989457.297325,3324672.582435
distributional_estimate_lookahead,-3490.68,252.9,2019462.585449,1206183.26636
parameterized_lookahead_approximation,-3490.68,252.9,2057834.458351,1670278.922902
linear_programming_heuristic,-3484.98,256.74,1888784.813881,1491236.750767
linear_programming_exact,-3490.97,252.89,105770785.737038,10190300771.496456
imitation_learning,-3480.68,256.28,18631.243706,1228.428355
myopic,-3846.69,340.81,890.660286,385.799682
genetic_programming,-3486.65,262.88,2248.954773,621.622857
linear_value_function_approximation,-3539.89,288.19,2517.580986,663.380567
deep_q_networks,-3494.46,266.93,36098.575592,3580.127945
proximal_policy_optimization,-3499.11,268.81,101684.904099,8020.814159
exact_value_function,-3479.95,253.63,3061.676025,11144.69818
