Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-18356.35,653.17,86.236,283.720424
point_estimate_lookahead,-18711.96,635.63,170845245.033503,8963848238.623909
distributional_estimate_lookahead,-18723.9,612.15,33814404.246211,5065246097.201921
parameterized_lookahead_approximation,-18689.99,633.78,3675033.49483,1769374.557639
linear_programming_heuristic,-18706.9,616.79,4660242.334008,169908226.807335
linear_programming_exact,-18725.81,610.7,22146559.885144,1646136271.573809
imitation_learning,-18979.94,699.34,18778.434396,9323.032921
myopic,-21643.99,900.42,1338.762045,544.259785
genetic_programming,-19080.62,718.81,4236.42993,592.50045
linear_value_function_approximation,-19111.03,671.32,4388.481379,780.446061
deep_q_networks,-20334.49,868.86,35894.927382,3929.653602
proximal_policy_optimization,-20106.44,836.74,99358.054996,3345.942797
exact_value_function,-18644.4,651.22,9675.937891,76388.192832
