Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-9228.29,428.05,92.858076,292.773183
point_estimate_lookahead,-9527.38,415.0,42867926.037312,23748159.788991
distributional_estimate_lookahead,-9529.73,408.99,27777129.608393,4796268460.72451
parameterized_lookahead_approximation,-9499.12,417.54,3739149.945974,1616766.214235
linear_programming_heuristic,-9504.49,409.68,3367709.290981,1701183.701441
linear_programming_exact,-9529.01,410.15,13345541.167259,3402943.615206
imitation_learning,-9571.51,462.13,18658.232689,1495.934212
myopic,-10894.46,600.22,1355.922222,549.166799
genetic_programming,-9683.96,465.94,3783.363104,555.525648
linear_value_function_approximation,-9744.71,459.68,4347.479343,834.583866
deep_q_networks,-9796.69,484.12,36308.920383,1844.504386
proximal_policy_optimization,-9759.07,516.32,100525.224209,3554.269041
exact_value_function,-9462.77,425.94,6390.243769,1103.332513
