Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-3931.74,154.56,85.830688,282.241682
point_estimate_lookahead,-4222.42,211.66,22256157.529354,11399612.580695
distributional_estimate_lookahead,-4204.24,194.74,3920967.793465,1670500.428135
parameterized_lookahead_approximation,-4195.08,198.74,3724371.600151,1640771.391089
linear_programming_heuristic,-4198.78,196.56,3397136.962414,1724766.786962
linear_programming_exact,-4204.15,193.56,13204588.401318,3480194.200321
imitation_learning,-4217.63,213.57,18658.37574,1342.617787
myopic,-4376.0,301.1,1554.93021,680.559667
genetic_programming,-4191.88,219.49,3544.020653,661.004231
linear_value_function_approximation,-4372.79,302.91,4319.84663,834.551822
deep_q_networks,-4249.85,243.59,35976.016521,2017.106964
proximal_policy_optimization,-4201.24,227.79,102394.509315,87447.977129
exact_value_function,-4176.19,204.55,6020.93935,1099.606329
