Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-12626.07,455.05,72.723627,261.78151
point_estimate_lookahead,-12775.75,472.61,25610885.620117,13113977.814203
distributional_estimate_lookahead,-12766.49,470.02,2243053.627014,1658251.614046
parameterized_lookahead_approximation,-12766.99,467.93,2207641.05916,1578293.706167
linear_programming_heuristic,-12769.8,467.84,2041808.342934,1428844.328316
linear_programming_exact,-12767.11,469.59,44874341.285229,5797252587.122508
imitation_learning,-12849.72,469.67,18429.148197,1131.441825
myopic,-12961.69,536.69,997.012854,369.56286
genetic_programming,-12782.05,463.69,2332.335711,577.242825
linear_value_function_approximation,-12970.97,540.41,2530.449629,607.360435
deep_q_networks,-12799.68,472.07,35508.489609,1879.137961
proximal_policy_optimization,-12796.51,475.5,99727.571011,3643.977036
exact_value_function,-12762.93,465.09,2783.858776,569.151675
