Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-21727.2,629.43,89.672208,290.217887
point_estimate_lookahead,-21972.39,609.56,80237174.189091,3383252655.970226
distributional_estimate_lookahead,-21967.43,612.05,15805706.4116,3569616619.626866
parameterized_lookahead_approximation,-21962.5,636.25,3140282.63092,1956031.021732
linear_programming_heuristic,-21958.02,611.85,3383207.87251,124525659.12595
linear_programming_exact,-21968.44,612.29,19646426.939964,2175542627.659906
imitation_learning,-22145.34,660.83,18660.673499,955.813218
myopic,-25223.06,805.43,1102.805138,554.803658
genetic_programming,-22461.66,678.62,3856.861591,461.650904
linear_value_function_approximation,-22316.21,650.66,3450.977802,653.014395
deep_q_networks,-23887.21,1129.48,36033.904552,1461.871248
proximal_policy_optimization,-24010.94,814.67,100510.469079,3345.32421
exact_value_function,-21930.63,617.5,4592.195153,712.393313
