Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-13511.5,466.8,100.10004,302.765873
point_estimate_lookahead,-13668.16,483.31,25482516.71195,13207741.622703
distributional_estimate_lookahead,-13648.56,484.31,2198914.99877,1452096.836171
parameterized_lookahead_approximation,-13648.56,484.31,2139758.145809,1326388.57317
linear_programming_heuristic,-13642.48,481.58,1787578.165531,1145557.069664
linear_programming_exact,-13648.41,483.55,3529231.81653,1579086.967463
imitation_learning,-13770.83,488.12,18726.676702,13500.816593
myopic,-15354.26,638.08,883.835554,422.281637
genetic_programming,-13669.94,488.68,2189.046144,584.960539
linear_value_function_approximation,-13843.49,527.12,2524.626255,590.531109
deep_q_networks,-13763.95,515.51,35676.527023,1836.505688
proximal_policy_optimization,-13991.12,584.83,99995.136261,3852.881491
exact_value_function,-13647.52,479.17,2795.767784,532.650174
