Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-2044.24,181.63,78.415871,269.984676
point_estimate_lookahead,-2264.02,198.56,14364627.26593,6693620.297265
distributional_estimate_lookahead,-2252.94,198.67,4689617.729187,1887276.074218
parameterized_lookahead_approximation,-2244.13,200.08,4507982.468605,2004758.41994
linear_programming_heuristic,-2242.06,186.11,4258509.302139,1913875.919615
linear_programming_exact,-2252.94,198.67,19589328.622818,6093151.486499
imitation_learning,-2226.55,198.68,18937.659264,1734.323377
myopic,-2406.79,261.87,1671.433449,582.151081
genetic_programming,-2276.86,228.12,5007.171631,1260.249069
linear_value_function_approximation,-2318.01,217.5,5117.559433,1195.020582
deep_q_networks,-2244.62,204.1,35783.624649,2282.184699
proximal_policy_optimization,-2249.7,201.29,101766.967773,6851.392978
exact_value_function,-2224.72,197.49,7125.520706,1604.91906
