Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-5463.46,308.86,78.66621,271.293001
point_estimate_lookahead,-5630.55,303.14,19234750.556946,9449911.837317
distributional_estimate_lookahead,-5628.5,305.21,3114510.273933,1797723.303213
parameterized_lookahead_approximation,-5613.68,308.02,3021295.893192,1706984.76894
linear_programming_heuristic,-5614.71,297.65,2660437.428951,1600727.075185
linear_programming_exact,-5628.21,305.48,7901561.319828,2667006.429919
imitation_learning,-5604.01,320.26,18667.173386,1166.814835
myopic,-6314.44,386.39,1130.604744,687.269731
genetic_programming,-5681.22,336.48,3228.04451,756.345042
linear_value_function_approximation,-5760.1,339.93,3415.441513,787.998286
deep_q_networks,-5635.82,327.91,35795.307159,1960.580719
proximal_policy_optimization,-5706.64,327.49,102186.775208,84546.578319
exact_value_function,-5593.59,312.69,4238.951206,1120.389957
