Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-4653.82,296.3,83.243847,278.413726
point_estimate_lookahead,-4884.6,292.18,23215423.607826,11709292.725826
distributional_estimate_lookahead,-4880.7,299.65,3965062.785149,1851482.726555
parameterized_lookahead_approximation,-4864.36,299.71,3761358.630657,1540747.528835
linear_programming_heuristic,-4858.68,295.23,3392171.156406,1728510.656158
linear_programming_exact,-4881.37,298.68,13223549.079895,3583499.26156
imitation_learning,-4854.02,309.93,18798.649311,1241.779027
myopic,-5476.11,377.23,1350.736618,557.014528
genetic_programming,-4944.17,330.34,4140.44857,728.399948
linear_value_function_approximation,-5006.83,358.53,4248.189926,859.255027
deep_q_networks,-4890.79,319.96,36192.35754,2013.662584
proximal_policy_optimization,-4926.31,330.19,101436.793804,75413.671607
exact_value_function,-4834.39,308.01,5741.977692,1234.817468
