Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-4974.45,274.73,74.100494,264.924065
point_estimate_lookahead,-5172.59,277.52,68708150.398731,7085167020.223574
distributional_estimate_lookahead,-5161.45,278.86,3054511.964321,1570967.891049
parameterized_lookahead_approximation,-5149.6,281.69,3002147.865295,1690003.419742
linear_programming_heuristic,-5152.82,271.31,2845669.949055,24326712.495082
linear_programming_exact,-5161.45,278.86,53262874.507904,6443629115.536392
imitation_learning,-5154.52,291.02,18724.536896,1381.385706
myopic,-5503.47,389.53,1228.523254,529.989655
genetic_programming,-5206.14,308.61,3272.83144,630.915993
linear_value_function_approximation,-5329.86,330.05,3438.270092,684.131828
deep_q_networks,-5192.86,283.95,36920.154095,73905.876787
proximal_policy_optimization,-5187.82,307.82,101155.865192,4890.437661
exact_value_function,-5140.44,275.32,4242.885113,861.737679
