Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-3728.23,182.18,88.393688,286.994421
point_estimate_lookahead,-4014.28,209.38,27379678.058624,13945692.519075
distributional_estimate_lookahead,-4002.08,205.07,4744346.857071,2100692.387564
parameterized_lookahead_approximation,-3994.68,204.45,4573540.866375,1945873.440112
linear_programming_heuristic,-3985.3,201.68,4191005.909443,1941043.641448
linear_programming_exact,-4002.56,204.81,20226956.260204,4675154.926006
imitation_learning,-3982.93,227.82,19019.246101,1844.356011
myopic,-4182.31,286.11,1812.601089,480.611481
genetic_programming,-4003.01,231.84,5060.601234,1198.687421
linear_value_function_approximation,-4165.45,290.83,5305.373669,1004.723431
deep_q_networks,-4039.33,239.08,36037.71925,2342.858901
proximal_policy_optimization,-3987.44,227.66,101464.879513,4624.190526
exact_value_function,-3963.37,216.17,8183.74157,1739.179947
