Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-7318.63,238.69,107.043982,313.209467
point_estimate_lookahead,-7703.13,270.42,51834331.458807,28753078.193629
distributional_estimate_lookahead,-7688.68,257.4,28199146.825075,4736048228.399887
parameterized_lookahead_approximation,-7668.86,261.63,4672637.593746,2088297.275878
linear_programming_heuristic,-7661.77,259.13,4188556.468487,1841845.46295
linear_programming_exact,-7688.87,256.99,20535772.484541,4430643.525707
imitation_learning,-7737.11,277.55,20081.961155,151878.508455
myopic,-8091.25,346.51,1815.873384,520.403835
genetic_programming,-7683.94,286.15,4997.515678,692.8034
linear_value_function_approximation,-7965.89,364.89,5331.164598,4591.230278
deep_q_networks,-7972.09,354.59,37549.501657,180275.815442
proximal_policy_optimization,-7790.49,307.84,102050.274611,173890.24429
exact_value_function,-7624.27,260.01,26677.685976,125099.286829
