Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-6340.46,304.3,74.672699,265.192393
point_estimate_lookahead,-6457.48,302.24,13498971.235752,6608511.133975
distributional_estimate_lookahead,-6448.16,302.51,2176060.330868,1613735.258003
parameterized_lookahead_approximation,-6449.38,302.26,2094806.516171,1445607.793974
linear_programming_heuristic,-6447.73,304.95,1893733.048439,1365290.918618
linear_programming_exact,-6448.38,302.39,3683948.898315,2031800.996818
imitation_learning,-6447.11,304.01,19503.450394,60036.500699
myopic,-6593.0,376.67,991.523266,324.271043
genetic_programming,-6450.2,303.55,2277.684212,680.66559
linear_value_function_approximation,-6596.38,380.49,2547.335625,601.033969
deep_q_networks,-6451.01,306.3,35742.497444,2130.303799
proximal_policy_optimization,-6464.82,319.68,100428.724289,4864.549114
exact_value_function,-6443.99,300.59,2852.43988,664.880299
