Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-25279.91,565.92,115.513802,322.324791
point_estimate_lookahead,-25443.24,566.65,55588952.112198,2167325391.836394
distributional_estimate_lookahead,-25448.98,567.63,2299768.969417,1732885.820551
parameterized_lookahead_approximation,-25448.98,567.63,2265329.84674,1808017.081142
linear_programming_heuristic,-25445.05,565.7,2108445.504308,1448274.975622
linear_programming_exact,-25449.77,567.22,3712673.562765,1872514.252593
imitation_learning,-25626.43,565.35,18461.731076,815.221905
myopic,-25806.79,677.24,975.281,260.35834
genetic_programming,-25440.98,567.62,2508.351207,573.894265
linear_value_function_approximation,-25805.14,680.51,2506.944537,563.397448
deep_q_networks,-25596.45,589.77,35738.581419,1635.655152
proximal_policy_optimization,-25632.8,622.59,98916.009068,2701.004854
exact_value_function,-25423.99,563.76,2803.561091,497.962501
