Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-7664.95,320.96,83.816051,280.008649
point_estimate_lookahead,-8045.15,327.74,50722777.140141,28505164.59941
distributional_estimate_lookahead,-8032.63,310.34,4723140.674829,2054895.468149
parameterized_lookahead_approximation,-8030.56,348.56,4460383.439064,2406331.730317
linear_programming_heuristic,-8011.69,315.11,4191751.748323,1821515.01738
linear_programming_exact,-8032.7,309.91,20310836.273432,4450853.777918
imitation_learning,-8084.81,345.22,18750.417233,2265.998829
myopic,-8931.88,543.45,1708.507538,537.373158
genetic_programming,-8144.48,419.57,5456.81119,822.826502
linear_value_function_approximation,-8282.09,391.54,5282.199383,1011.148583
deep_q_networks,-8258.65,434.0,36050.879955,7229.282968
proximal_policy_optimization,-8213.93,407.87,99682.033062,4029.819134
exact_value_function,-7972.02,328.22,17357.140779,62189.727156
