Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-14539.52,309.87,92.232227,294.016809
point_estimate_lookahead,-15006.21,366.44,147552890.256047,6556153686.082003
distributional_estimate_lookahead,-14993.44,364.56,4626521.000266,2086591.255994
parameterized_lookahead_approximation,-14982.5,366.62,4537681.114674,2088437.920841
linear_programming_heuristic,-14975.98,365.99,5857981.070876,211387553.906025
linear_programming_exact,-14992.33,362.72,34448144.65344,2716586925.501178
imitation_learning,-15224.94,396.41,19307.515025,1055.722569
myopic,-15899.09,496.13,1806.679368,499.74593
genetic_programming,-15039.21,395.43,5797.532201,620.281069
linear_value_function_approximation,-15476.13,554.22,5334.845185,811.938302
deep_q_networks,-15334.57,466.59,36580.017209,14544.189791
proximal_policy_optimization,-15391.91,445.58,100998.365879,3475.86293
