Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-2025.52,101.88,117.54,612.88
imitation_learning,-2235.83,136.0,21627.43,14862.62
myopic,-2268.48,163.03,1652.24,804.26
genetic_programming,-2215.52,143.9,2760.89,1364.28
linear_value_function_approximation,-2281.08,181.68,4829.88,2621.51
deep_q_networks,-2217.24,130.93,40514.95,18284.53
point_estimate_lookahead,-2356.94,178.75,1412742.38,988167.56
distributional_estimate_lookahead,-2213.75,108.92,4782894.85,8948239.58
linear_programming_heuristic,-2314.81,142.58,4007758.62,8449584.76
linear_programming_exact,-2203.38,110.63,16232308.15,10514235.41
parameterized_lookahead_approximation,-2197.47,111.62,4626602.41,8683998.01
proximal_policy_optimization,-2209.4,107.44,106825.59,26135.77
