Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-15394.47,270.5,84.88,282.58
imitation_learning,-16298.28,468.77,19260.11,6023.97
myopic,-16261.35,494.06,1613.5,586.8
genetic_programming,-15779.86,333.93,2903.49,719.78
linear_value_function_approximation,-16282.92,483.04,4718.24,1348.37
deep_q_networks,-16221.28,465.75,37087.47,7217.01
point_estimate_lookahead,-16159.04,446.11,7920153.74,5892293.58
distributional_estimate_lookahead,-15877.97,331.4,3797461.9,3606364.73
linear_programming_heuristic,-15984.77,321.47,3230641.42,3579297.96
linear_programming_exact,-15867.34,320.85,15534675.9,4987299.95
parameterized_lookahead_approximation,-15820.31,339.34,3738740.98,3519272.49
proximal_policy_optimization,-16058.94,416.3,103084.98,11798.8
