Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-2365.35,148.91,90.12,289.77
imitation_learning,-2546.61,160.58,21152.5,12983.49
myopic,-2800.57,211.89,1458.17,793.71
genetic_programming,-2528.25,160.24,3378.87,1366.09
point_estimate_lookahead,-2709.39,179.76,1363210.68,734965.58
distributional_estimate_lookahead,-2508.91,164.77,4755023.0,8635511.33
least_squares_policy_iteration,-2675.24,179.34,5708.46,3715.34
deep_q_networks,-2515.61,152.13,39305.21,16493.81
linear_programming_heuristic,-2691.19,170.61,4067934.75,8661962.92
linear_programming_exact,-2492.07,177.92,16112633.23,10404616.2
parameterized_lookahead_approximation,-2503.65,166.98,4725129.37,8721208.81
proximal_policy_optimization,-2527.53,156.23,109915.49,26912.78
