Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-3179.98,217.11,75.531006,267.373204
point_estimate_lookahead,-3285.31,226.94,124018207.001686,9656469698.466324
distributional_estimate_lookahead,-3280.45,226.03,2009026.002884,1625290.371949
parameterized_lookahead_approximation,-3280.45,226.03,1996169.805527,1463368.281385
linear_programming_heuristic,-3275.66,224.17,2589517.354965,72138464.673966
linear_programming_exact,-3280.31,225.83,21530104.088783,1726693323.391897
imitation_learning,-3269.21,224.42,19423.532486,32891.609854
myopic,-3352.91,261.14,974.988937,289.343086
genetic_programming,-3275.07,224.32,2652.430534,847.625831
linear_value_function_approximation,-3355.26,261.34,2548.456192,648.168829
deep_q_networks,-3281.95,228.02,35687.351227,2619.777489
proximal_policy_optimization,-3283.52,225.18,101043.438911,4882.016226
exact_value_function,-3270.46,225.41,2830.982208,678.095468
