Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-15210.42,469.05,89.481473,287.865434
point_estimate_lookahead,-15691.79,478.23,171655662.26542,8233373895.240255
distributional_estimate_lookahead,-15676.72,475.88,4655146.101117,2132268.773348
parameterized_lookahead_approximation,-15649.68,487.06,4540803.357959,1999603.728888
linear_programming_heuristic,-15667.04,473.1,4857638.260722,131578021.859252
linear_programming_exact,-15673.07,474.77,27723968.556523,1759057647.507544
imitation_learning,-15904.59,504.86,19440.802932,1283.752847
myopic,-17727.02,874.03,1699.149609,511.772266
genetic_programming,-15919.12,604.16,6122.475863,671.057067
linear_value_function_approximation,-16130.58,566.16,5358.850956,927.558735
deep_q_networks,-16656.31,847.82,35911.509395,3762.226871
proximal_policy_optimization,-16546.5,732.68,100353.318453,3462.133629
