Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-7756.03,195.71,78.62,270.85
imitation_learning,-8306.05,238.44,19752.74,6691.97
myopic,-8373.19,246.96,1614.45,617.93
genetic_programming,-8117.42,251.44,3945.59,868.92
linear_value_function_approximation,-8367.03,252.97,4807.35,1821.95
deep_q_networks,-8185.62,252.89,37266.08,10200.47
point_estimate_lookahead,-8709.82,328.85,4369757.53,5779946.29
distributional_estimate_lookahead,-8136.97,249.61,3968547.82,5027770.34
linear_programming_heuristic,-8214.54,230.28,3388561.79,5031846.72
linear_programming_exact,-8110.0,241.41,15488920.63,5331411.98
parameterized_lookahead_approximation,-8118.29,244.16,3939610.12,5021360.49
proximal_policy_optimization,-8169.71,276.28,103545.01,14733.13
