Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-9851.9,337.26,77.43,269.19
imitation_learning,-10173.95,343.91,19136.85,6590.3
myopic,-10846.61,501.08,1265.17,570.44
genetic_programming,-10328.7,377.68,2931.3,727.15
point_estimate_lookahead,-10504.1,432.45,3556452.87,5442932.5
distributional_estimate_lookahead,-10075.97,334.73,3171737.97,4924364.65
least_squares_policy_iteration,-10246.82,319.41,4822.67,1884.49
deep_q_networks,-10127.84,353.87,36840.86,9280.23
linear_programming_heuristic,-10110.96,333.03,2735294.46,4922923.7
linear_programming_exact,-10063.51,325.55,9944973.41,5107719.78
parameterized_lookahead_approximation,-10063.22,340.16,3165086.63,4934495.98
proximal_policy_optimization,-10254.09,399.79,102248.49,12702.55
