Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-1897.67,102.69,85.35,282.69
imitation_learning,-2123.72,134.04,21756.17,13328.89
myopic,-2170.76,149.35,1879.22,897.55
genetic_programming,-2094.69,124.4,3755.81,1628.45
linear_value_function_approximation,-2182.56,193.68,5825.76,4491.48
deep_q_networks,-2094.46,106.52,39810.66,18344.44
point_estimate_lookahead,-2303.86,159.02,1738125.09,3330746.91
distributional_estimate_lookahead,-2093.58,115.37,5595577.24,9319021.22
linear_programming_heuristic,-2163.36,120.25,4681483.51,8360442.33
linear_programming_exact,-2093.16,131.61,22811916.59,11073644.91
parameterized_lookahead_approximation,-2090.13,112.49,5486583.23,8908886.55
proximal_policy_optimization,-2073.92,101.51,107975.96,25296.71
