Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-2769.78,248.82,73.838234,263.556174
point_estimate_lookahead,-2901.89,257.08,10110829.114914,4399038.757629
distributional_estimate_lookahead,-2907.8,250.51,2931027.603149,1493245.909615
parameterized_lookahead_approximation,-2893.65,263.96,2990448.760986,1896769.372514
linear_programming_heuristic,-2888.93,251.07,2712820.696831,1714102.797295
linear_programming_exact,-2907.8,250.51,8030231.189728,2729737.535419
imitation_learning,-2875.86,261.39,18995.094299,1757.17389
myopic,-3189.12,326.46,1195.931435,945.925248
genetic_programming,-2936.77,277.54,3477.883339,943.233399
linear_value_function_approximation,-2949.31,266.22,3405.022621,791.712864
deep_q_networks,-2897.08,279.97,36506.485939,3292.90211
proximal_policy_optimization,-2893.28,275.85,102095.389366,5300.620893
exact_value_function,-2877.45,257.35,3961.896896,855.98636
