Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-3889.62,229.65,87.583065,285.4662
point_estimate_lookahead,-4184.2,248.48,26372857.153416,13784310.301962
distributional_estimate_lookahead,-4160.97,242.62,4731747.162342,2087342.154865
parameterized_lookahead_approximation,-4156.3,250.71,4368144.42873,1775395.707791
linear_programming_heuristic,-4143.52,242.42,4218246.44804,2026083.842493
linear_programming_exact,-4161.11,243.3,20077714.323997,4782045.130731
imitation_learning,-4147.9,260.93,19176.614285,2044.040645
myopic,-4537.99,357.32,1730.525494,551.464043
genetic_programming,-4218.8,276.47,5394.327641,969.190213
linear_value_function_approximation,-4303.76,318.72,5264.46104,1047.887748
deep_q_networks,-4164.85,275.28,35962.986946,2652.243587
proximal_policy_optimization,-4180.05,274.14,100791.64505,4556.862683
exact_value_function,-4115.69,249.22,7954.907417,1593.07605
