Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-10871.77,431.52,90.461969,289.358216
point_estimate_lookahead,-11072.28,425.72,59087023.6516,4691953218.138182
distributional_estimate_lookahead,-11066.78,423.82,3204328.417778,1813092.711253
parameterized_lookahead_approximation,-11060.5,443.17,3138877.83885,1748792.723955
linear_programming_heuristic,-11049.56,430.15,2371486.151218,1226801.761926
linear_programming_exact,-11067.58,423.59,7005313.140154,2030925.059229
imitation_learning,-11117.71,459.68,18671.572208,1872.809383
myopic,-12631.04,554.7,1129.680872,595.447661
genetic_programming,-11295.09,463.4,3147.149086,488.973779
linear_value_function_approximation,-11293.89,450.48,3445.315361,718.560907
deep_q_networks,-11609.62,570.25,35540.276766,2346.682906
proximal_policy_optimization,-11595.35,531.08,100670.88604,3861.77545
exact_value_function,-11028.83,433.3,4362.3209,781.23298
