Policy,MeanReward,StdReward,MeanTime,StdTime
perfect_hindsight,-2510.68,192.95,75.745583,265.937379
point_estimate_lookahead,-2669.74,214.55,9596680.307388,4209145.665025
distributional_estimate_lookahead,-2665.48,211.4,2862153.530121,1712176.579866
parameterized_lookahead_approximation,-2659.82,214.63,2911846.923828,1488537.084041
linear_programming_heuristic,-2658.05,214.65,2439710.831642,1176429.969591
linear_programming_exact,-2665.48,211.4,7918936.109543,3109218.002909
imitation_learning,-2643.22,212.88,18732.976913,1147.079451
myopic,-2778.89,285.87,1234.102249,509.666965
genetic_programming,-2688.9,251.29,4057.145119,806.828142
linear_value_function_approximation,-2731.92,241.07,3397.607803,792.891432
deep_q_networks,-2662.31,220.77,36175.4179,2753.314254
proximal_policy_optimization,-2659.34,211.77,100931.739807,5426.460732
exact_value_function,-2641.66,212.53,4021.763802,720.490049
