max_depth,generation,best_individual,max_fitness,avg_fitness
4,1,"div(CAPACITY, DISTANCE)",-25483.93290329259,-31541.17141480056
4,2,"div(CAPACITY, DISTANCE)",-25483.93290329259,-28075.541723589697
4,3,"div(CAPACITY, DISTANCE)",-25483.93290329259,-27538.763882724706
4,4,"div(CAPACITY, DISTANCE)",-25483.93290329259,-27496.96817890767
4,5,"div(div(CAPACITY, DISTANCE), DISTANCE)",-25483.17766782316,-28154.469590203986
4,6,"div(div(CAPACITY, DISTANCE), DISTANCE)",-25483.17766782316,-29338.88696225007
4,7,"div(div(CAPACITY, DISTANCE), DISTANCE)",-25483.17766782316,-28682.336305738725
4,8,"div(div(CAPACITY, DISTANCE), DISTANCE)",-25483.17766782316,-28956.747568704006
4,9,"div(div(CAPACITY, DISTANCE), DISTANCE)",-25483.17766782316,-27786.599631871817
4,10,"div(div(CAPACITY, DISTANCE), DISTANCE)",-25483.17766782316,-26779.384074535275
4,11,"div(div(CAPACITY, DISTANCE), DISTANCE)",-25483.17766782316,-26927.837436079557
4,12,"mult(sub(div(INITIAL_CAPACITY, INITIAL_CAPACITY), add(CAPACITY, INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25480.976656940777,-26541.277187855885
4,13,"mult(sub(div(INITIAL_CAPACITY, INITIAL_CAPACITY), add(CAPACITY, INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25480.976656940777,-26844.748683153353
4,14,"mult(sub(div(INITIAL_CAPACITY, INITIAL_CAPACITY), add(CAPACITY, INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25480.976656940777,-27584.431398623445
4,15,"mult(sub(div(INITIAL_CAPACITY, INITIAL_CAPACITY), add(CAPACITY, INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25480.976656940777,-27829.961427364593
4,16,"mult(sub(div(INITIAL_CAPACITY, INITIAL_CAPACITY), add(CAPACITY, INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25480.976656940777,-27858.405956493752
4,17,"mult(sub(div(INITIAL_CAPACITY, INITIAL_CAPACITY), add(CAPACITY, INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25480.976656940777,-28074.10384092212
4,18,"div(div(CAPACITY, DISTANCE), add(div(add(CAPACITY, INITIAL_CAPACITY), DISTANCE), DISTANCE))",-25480.1130091539,-29420.55341197575
4,19,"mult(sub(div(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25478.8912735446,-28883.834744646792
4,20,"mult(sub(div(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25478.8912735446,-28772.197863026977
4,21,"mult(sub(div(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25478.8912735446,-29743.17399199724
4,22,"mult(sub(div(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25478.8912735446,-28229.697572295565
4,23,"mult(sub(div(div(INITIAL_CAPACITY, INITIAL_CAPACITY), INITIAL_CAPACITY), add(add(CAPACITY, CAPACITY), INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25472.344537890145,-28138.370003152933
4,24,"mult(sub(div(div(INITIAL_CAPACITY, INITIAL_CAPACITY), INITIAL_CAPACITY), add(add(CAPACITY, CAPACITY), INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25472.344537890145,-27516.48796108279
4,25,"mult(sub(div(div(INITIAL_CAPACITY, INITIAL_CAPACITY), INITIAL_CAPACITY), add(add(CAPACITY, CAPACITY), INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25472.344537890145,-28324.636847719597
4,26,"mult(sub(div(div(INITIAL_CAPACITY, INITIAL_CAPACITY), INITIAL_CAPACITY), add(add(CAPACITY, CAPACITY), INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25472.344537890145,-30504.461207656754
4,27,"mult(sub(div(div(INITIAL_CAPACITY, INITIAL_CAPACITY), INITIAL_CAPACITY), add(add(CAPACITY, CAPACITY), INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25472.344537890145,-27149.18576534751
4,28,"mult(sub(div(div(INITIAL_CAPACITY, INITIAL_CAPACITY), INITIAL_CAPACITY), add(add(CAPACITY, CAPACITY), INITIAL_CAPACITY)), div(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), div(CAPACITY, DISTANCE)))",-25472.344537890145,-27571.83876545291
