max_depth,generation,best_individual,max_fitness,avg_fitness
4,1,"div(CAPACITY, DISTANCE)",-9751.181155884218,-16108.313817797867
4,2,"div(CAPACITY, DISTANCE)",-9751.181155884218,-13625.438398229431
4,3,"div(CAPACITY, DISTANCE)",-9751.181155884218,-13419.505650426896
4,4,"div(CAPACITY, DISTANCE)",-9751.181155884218,-12149.789753803878
4,5,"div(CAPACITY, DISTANCE)",-9751.181155884218,-11227.410245105997
4,6,"div(CAPACITY, DISTANCE)",-9751.181155884218,-11398.296029975205
4,7,"div(CAPACITY, DISTANCE)",-9751.181155884218,-11131.46347588881
4,8,"div(CAPACITY, DISTANCE)",-9751.181155884218,-11233.56389488713
4,9,"div(CAPACITY, DISTANCE)",-9751.181155884218,-10930.536019140412
4,10,"div(CAPACITY, DISTANCE)",-9751.181155884218,-10641.267316527723
4,11,"div(CAPACITY, DISTANCE)",-9751.181155884218,-11534.968256682849
4,12,"div(CAPACITY, DISTANCE)",-9751.181155884218,-10805.14229314238
4,13,"div(CAPACITY, DISTANCE)",-9751.181155884218,-11198.264401731923
4,14,"div(CAPACITY, DISTANCE)",-9751.181155884218,-10630.700778268983
4,15,"div(CAPACITY, DISTANCE)",-9751.181155884218,-10333.369378665688
4,16,"div(CAPACITY, DISTANCE)",-9751.181155884218,-10485.99266761762
4,17,"div(CAPACITY, DISTANCE)",-9751.181155884218,-10796.53601190981
4,18,"div(CAPACITY, DISTANCE)",-9751.181155884218,-10800.591459513602
4,19,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(CAPACITY, INITIAL_CAPACITY)))",-9749.05595160392,-10638.39146722589
4,20,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(CAPACITY, INITIAL_CAPACITY)))",-9749.05595160392,-10554.277002368372
4,21,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(CAPACITY, INITIAL_CAPACITY)))",-9749.05595160392,-10829.684833103633
4,22,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, INITIAL_CAPACITY)))",-9746.354140455687,-10784.17037720309
4,23,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, INITIAL_CAPACITY)))",-9746.354140455687,-11051.695535578854
4,24,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, INITIAL_CAPACITY)))",-9746.354140455687,-11526.641554779304
4,25,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-11597.008729634998
4,26,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-11550.411943928513
4,27,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-11333.073102718621
4,28,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-11214.021549413506
4,29,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-11497.758602456754
4,30,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-10958.764375791792
4,31,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-10921.92569961378
4,32,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-11366.736438218772
4,33,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-10408.430459668438
4,34,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-10770.432799920947
4,35,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-11234.639762453691
4,36,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-10899.633479328122
4,37,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-11306.758596907508
4,38,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-10929.274193201929
4,39,"div(CAPACITY, sub(add(DISTANCE, DISTANCE), div(DISTANCE, CAPACITY)))",-9720.281740904287,-10726.208886342361
