max_depth,generation,id,individual,fitness
4,1,1,INITIAL_CAPACITY,-8260.217579785047
4,1,2,"sub(DISTANCE, INITIAL_CAPACITY)",-25901.601196901283
4,1,3,CAPACITY,-11869.647160973935
4,1,4,DISTANCE,-25901.601196901283
4,1,5,"add(INITIAL_CAPACITY, DISTANCE)",-25901.601196901283
4,1,6,"div(INITIAL_CAPACITY, CAPACITY)",-18583.057300476714
4,1,7,"mult(CAPACITY, DISTANCE)",-25968.794389447867
4,1,8,CAPACITY,-11869.647160973935
4,1,9,"mult(div(INITIAL_CAPACITY, DISTANCE), div(DISTANCE, INITIAL_CAPACITY))",-11699.599682257725
4,1,10,"mult(sub(add(add(INITIAL_CAPACITY, DISTANCE), mult(DISTANCE, DISTANCE)), add(div(CAPACITY, CAPACITY), mult(DISTANCE, CAPACITY))), mult(sub(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), sub(sub(DISTANCE, CAPACITY), div(CAPACITY, INITIAL_CAPACITY))))",-25673.60486114823
4,1,11,INITIAL_CAPACITY,-8260.217579785047
4,1,12,"sub(add(div(INITIAL_CAPACITY, DISTANCE), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), add(add(DISTANCE, DISTANCE), div(CAPACITY, CAPACITY)))",-8260.217579785047
4,1,13,INITIAL_CAPACITY,-8260.217579785047
4,1,14,"div(CAPACITY, div(INITIAL_CAPACITY, DISTANCE))",-25968.794389447867
4,1,15,"mult(CAPACITY, div(div(DISTANCE, INITIAL_CAPACITY), div(CAPACITY, CAPACITY)))",-25968.794389447867
4,1,16,INITIAL_CAPACITY,-8260.217579785047
4,1,17,"add(add(mult(div(INITIAL_CAPACITY, CAPACITY), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), mult(add(CAPACITY, CAPACITY), add(CAPACITY, CAPACITY))), div(sub(div(DISTANCE, INITIAL_CAPACITY), mult(INITIAL_CAPACITY, INITIAL_CAPACITY)), div(div(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, DISTANCE))))",-8258.903310956885
4,1,18,INITIAL_CAPACITY,-8260.217579785047
4,1,19,"mult(div(div(INITIAL_CAPACITY, CAPACITY), div(CAPACITY, CAPACITY)), mult(div(INITIAL_CAPACITY, DISTANCE), DISTANCE))",-18650.32342794041
4,1,20,"sub(DISTANCE, DISTANCE)",-8260.217579785047
4,1,21,"div(CAPACITY, DISTANCE)",-7916.645763317443
4,1,22,"mult(div(INITIAL_CAPACITY, DISTANCE), div(DISTANCE, INITIAL_CAPACITY))",-11699.599682257725
4,1,23,INITIAL_CAPACITY,-8260.217579785047
4,1,24,"div(sub(sub(mult(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, INITIAL_CAPACITY)), div(add(DISTANCE, DISTANCE), add(CAPACITY, DISTANCE))), sub(sub(add(DISTANCE, INITIAL_CAPACITY), add(DISTANCE, DISTANCE)), add(mult(DISTANCE, INITIAL_CAPACITY), sub(CAPACITY, INITIAL_CAPACITY))))",-8746.1084556852
4,1,25,"add(mult(CAPACITY, DISTANCE), mult(CAPACITY, CAPACITY))",-25925.207696662168
4,1,26,"sub(CAPACITY, DISTANCE)",-7964.836521433963
4,1,27,"mult(add(sub(mult(DISTANCE, DISTANCE), sub(DISTANCE, DISTANCE)), sub(div(INITIAL_CAPACITY, DISTANCE), div(CAPACITY, INITIAL_CAPACITY))), sub(div(div(CAPACITY, DISTANCE), sub(CAPACITY, INITIAL_CAPACITY)), add(add(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, INITIAL_CAPACITY))))",-8345.5974655055
4,1,28,INITIAL_CAPACITY,-8260.217579785047
4,1,29,"div(DISTANCE, DISTANCE)",-8260.217579785047
4,1,30,INITIAL_CAPACITY,-8260.217579785047
4,1,31,"div(DISTANCE, DISTANCE)",-8260.217579785047
4,1,32,"mult(DISTANCE, div(DISTANCE, INITIAL_CAPACITY))",-25901.601196901283
4,1,33,"sub(div(div(INITIAL_CAPACITY, mult(INITIAL_CAPACITY, INITIAL_CAPACITY)), INITIAL_CAPACITY), DISTANCE)",-8260.217579785047
4,1,34,"sub(div(CAPACITY, DISTANCE), mult(DISTANCE, CAPACITY))",-10776.79768839815
4,1,35,"div(INITIAL_CAPACITY, DISTANCE)",-8260.217579785047
4,1,36,CAPACITY,-11869.647160973935
4,1,37,INITIAL_CAPACITY,-8260.217579785047
4,1,38,"mult(sub(mult(div(CAPACITY, INITIAL_CAPACITY), mult(DISTANCE, CAPACITY)), add(sub(DISTANCE, INITIAL_CAPACITY), div(INITIAL_CAPACITY, CAPACITY))), add(div(add(CAPACITY, INITIAL_CAPACITY), add(CAPACITY, CAPACITY)), mult(INITIAL_CAPACITY, add(INITIAL_CAPACITY, DISTANCE))))",-23816.645033409975
4,1,39,INITIAL_CAPACITY,-8260.217579785047
4,1,40,INITIAL_CAPACITY,-8260.217579785047
4,1,41,"div(DISTANCE, CAPACITY)",-23142.80234255687
4,1,42,"div(add(CAPACITY, CAPACITY), DISTANCE)",-7916.645763317443
4,1,43,"sub(INITIAL_CAPACITY, DISTANCE)",-8260.217579785047
