max_depth,generation,best_individual,max_fitness,avg_fitness
4,1,"div(CAPACITY, DISTANCE)",-4984.801135252488,-7904.142033273378
4,2,"div(CAPACITY, DISTANCE)",-4984.801135252488,-6785.7915069083765
4,3,"div(CAPACITY, DISTANCE)",-4984.801135252488,-6624.655833014918
4,4,"div(CAPACITY, DISTANCE)",-4984.801135252488,-5649.969502385672
4,5,"div(CAPACITY, DISTANCE)",-4984.801135252488,-5635.640961513892
4,6,"div(CAPACITY, DISTANCE)",-4984.801135252488,-5746.250646640684
4,7,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), add(DISTANCE, DISTANCE))), DISTANCE)",-4972.179201064364,-5537.816528761264
4,8,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), add(DISTANCE, DISTANCE))), DISTANCE)",-4972.179201064364,-5668.447583408619
4,9,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), add(DISTANCE, DISTANCE))), DISTANCE)",-4972.179201064364,-5376.304474843597
4,10,"div(add(add(CAPACITY, CAPACITY), add(div(CAPACITY, CAPACITY), add(DISTANCE, DISTANCE))), DISTANCE)",-4964.742976918268,-5415.418180190109
4,11,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), DISTANCE)",-4951.014504291099,-5267.2249281708255
4,12,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), DISTANCE)",-4951.014504291099,-5359.508394133821
4,13,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), DISTANCE)",-4951.014504291099,-5473.209040853264
4,14,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), DISTANCE)",-4951.014504291099,-5487.067941103094
4,15,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), DISTANCE)",-4951.014504291099,-5305.037127681763
4,16,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), DISTANCE)",-4951.014504291099,-5291.433756538497
4,17,"div(add(add(CAPACITY, div(CAPACITY, CAPACITY)), add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), DISTANCE)",-4941.013876042884,-5393.957401070859
4,18,"div(add(add(CAPACITY, div(CAPACITY, CAPACITY)), add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), DISTANCE)",-4941.013876042884,-5475.961434201993
4,19,"div(add(add(CAPACITY, div(CAPACITY, CAPACITY)), add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), DISTANCE)",-4941.013876042884,-5253.974221744791
4,20,"div(add(add(CAPACITY, div(CAPACITY, CAPACITY)), add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), DISTANCE)",-4941.013876042884,-5321.16449380324
4,21,"div(add(add(CAPACITY, div(CAPACITY, CAPACITY)), add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), DISTANCE)",-4941.013876042884,-5315.319597783533
4,22,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), sub(add(DISTANCE, INITIAL_CAPACITY), div(CAPACITY, INITIAL_CAPACITY)))",-4938.0958168334955,-5198.046026224893
4,23,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), sub(add(DISTANCE, INITIAL_CAPACITY), div(CAPACITY, INITIAL_CAPACITY)))",-4938.0958168334955,-5442.678221410449
4,24,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), sub(add(DISTANCE, INITIAL_CAPACITY), div(CAPACITY, CAPACITY)))",-4937.820490885259,-5263.31785021486
4,25,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), sub(add(DISTANCE, INITIAL_CAPACITY), div(CAPACITY, CAPACITY)))",-4937.820490885259,-5257.569553631047
4,26,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), sub(add(DISTANCE, INITIAL_CAPACITY), div(div(CAPACITY, CAPACITY), CAPACITY)))",-4933.065579053353,-5473.038961492848
4,27,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), sub(add(DISTANCE, INITIAL_CAPACITY), div(div(CAPACITY, CAPACITY), CAPACITY)))",-4933.065579053353,-5723.813408339445
4,28,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), sub(add(DISTANCE, INITIAL_CAPACITY), div(div(CAPACITY, CAPACITY), CAPACITY)))",-4933.065579053353,-5685.3503390470205
4,29,"div(add(CAPACITY, add(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))), sub(add(DISTANCE, INITIAL_CAPACITY), div(div(CAPACITY, CAPACITY), CAPACITY)))",-4933.065579053353,-5914.864261175872
