max_depth,generation,id,individual,fitness
4,1,1,INITIAL_CAPACITY,-2179.7413832591756
4,1,2,"sub(DISTANCE, INITIAL_CAPACITY)",-6479.500268144106
4,1,3,CAPACITY,-3004.788434252293
4,1,4,DISTANCE,-6479.500268144106
4,1,5,"add(INITIAL_CAPACITY, DISTANCE)",-6479.500268144106
4,1,6,"div(INITIAL_CAPACITY, CAPACITY)",-4524.248851154289
4,1,7,"mult(CAPACITY, DISTANCE)",-6427.522167990287
4,1,8,CAPACITY,-3004.788434252293
4,1,9,"mult(div(INITIAL_CAPACITY, DISTANCE), div(DISTANCE, INITIAL_CAPACITY))",-3085.2030985062825
4,1,10,"mult(sub(add(add(INITIAL_CAPACITY, DISTANCE), mult(DISTANCE, DISTANCE)), add(div(CAPACITY, CAPACITY), mult(DISTANCE, CAPACITY))), mult(sub(mult(INITIAL_CAPACITY, INITIAL_CAPACITY), add(INITIAL_CAPACITY, INITIAL_CAPACITY)), sub(sub(DISTANCE, CAPACITY), div(CAPACITY, INITIAL_CAPACITY))))",-6461.514342290227
4,1,11,"mult(add(DISTANCE, CAPACITY), sub(CAPACITY, DISTANCE))",-2179.7413832591756
4,1,12,"sub(div(div(INITIAL_CAPACITY, mult(INITIAL_CAPACITY, INITIAL_CAPACITY)), INITIAL_CAPACITY), DISTANCE)",-2179.7413832591756
4,1,13,"mult(mult(mult(add(INITIAL_CAPACITY, CAPACITY), mult(DISTANCE, INITIAL_CAPACITY)), add(div(CAPACITY, DISTANCE), mult(DISTANCE, INITIAL_CAPACITY))), sub(mult(sub(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, CAPACITY)), add(mult(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, CAPACITY))))",-2261.1872351830425
4,1,14,"sub(add(sub(div(DISTANCE, DISTANCE), add(DISTANCE, INITIAL_CAPACITY)), mult(mult(CAPACITY, INITIAL_CAPACITY), add(INITIAL_CAPACITY, DISTANCE))), div(mult(mult(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, CAPACITY)), div(mult(INITIAL_CAPACITY, CAPACITY), sub(DISTANCE, DISTANCE))))",-6425.432107851627
4,1,15,CAPACITY,-3004.788434252293
4,1,16,"div(DISTANCE, INITIAL_CAPACITY)",-6479.500268144106
