max_depth,generation,id,individual,fitness
4,1,45,"sub(DISTANCE, INITIAL_CAPACITY)",-42439.587648414396
4,1,46,"sub(DISTANCE, DISTANCE)",-24880.085288224862
4,1,47,"mult(add(sub(mult(DISTANCE, DISTANCE), sub(DISTANCE, DISTANCE)), sub(div(INITIAL_CAPACITY, DISTANCE), div(CAPACITY, INITIAL_CAPACITY))), sub(div(div(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, INITIAL_CAPACITY)), add(add(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, INITIAL_CAPACITY))))",-26180.425480944843
4,1,48,"mult(div(div(INITIAL_CAPACITY, CAPACITY), div(mult(DISTANCE, DISTANCE), CAPACITY)), mult(div(INITIAL_CAPACITY, DISTANCE), DISTANCE))",-24009.659013696448
4,1,49,"mult(CAPACITY, INITIAL_CAPACITY)",-36239.64056698138
4,1,50,"sub(div(CAPACITY, DISTANCE), DISTANCE)",-24775.866787038663
4,1,51,"div(div(CAPACITY, INITIAL_CAPACITY), add(INITIAL_CAPACITY, INITIAL_CAPACITY))",-37030.405250063704
4,1,52,INITIAL_CAPACITY,-37868.76354722587
4,1,53,CAPACITY,-30903.21614994234
4,1,54,CAPACITY,-30903.21614994234
4,1,55,CAPACITY,-30903.21614994234
4,1,56,"mult(mult(mult(add(INITIAL_CAPACITY, CAPACITY), mult(DISTANCE, INITIAL_CAPACITY)), add(div(CAPACITY, DISTANCE), mult(DISTANCE, INITIAL_CAPACITY))), sub(mult(sub(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, CAPACITY)), add(mult(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, CAPACITY))))",-23867.66186136321
4,1,57,CAPACITY,-30903.21614994234
4,1,58,"sub(DISTANCE, DISTANCE)",-24880.085288224862
4,1,59,CAPACITY,-30903.21614994234
4,1,60,"sub(DISTANCE, DISTANCE)",-24880.085288224862
4,1,61,"mult(add(mult(add(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), sub(mult(CAPACITY, INITIAL_CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))), sub(mult(div(CAPACITY, DISTANCE), add(INITIAL_CAPACITY, CAPACITY)), mult(add(DISTANCE, CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))))",-30133.505303701346
4,1,62,"add(sub(mult(INITIAL_CAPACITY, DISTANCE), mult(CAPACITY, INITIAL_CAPACITY)), div(add(CAPACITY, INITIAL_CAPACITY), sub(INITIAL_CAPACITY, DISTANCE)))",-39619.81379197495
4,1,63,"mult(CAPACITY, INITIAL_CAPACITY)",-36239.64056698138
4,1,64,CAPACITY,-30903.21614994234
4,1,65,"div(add(CAPACITY, CAPACITY), DISTANCE)",-22254.597711649025
4,1,66,CAPACITY,-30903.21614994234
4,1,67,"mult(add(sub(mult(DISTANCE, DISTANCE), sub(DISTANCE, DISTANCE)), sub(div(INITIAL_CAPACITY, DISTANCE), div(CAPACITY, INITIAL_CAPACITY))), sub(div(div(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, DISTANCE)), add(add(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, INITIAL_CAPACITY))))",-26177.601703734446
4,1,68,"sub(INITIAL_CAPACITY, INITIAL_CAPACITY)",-24880.085288224862
4,1,69,CAPACITY,-30903.21614994234
4,1,70,"add(div(add(CAPACITY, CAPACITY), mult(DISTANCE, CAPACITY)), add(div(CAPACITY, DISTANCE), sub(INITIAL_CAPACITY, CAPACITY)))",-37638.18182943359
4,1,71,"div(div(INITIAL_CAPACITY, sub(div(DISTANCE, INITIAL_CAPACITY), mult(INITIAL_CAPACITY, INITIAL_CAPACITY))), INITIAL_CAPACITY)",-37868.76354722587
4,1,72,"div(mult(add(DISTANCE, CAPACITY), mult(INITIAL_CAPACITY, CAPACITY)), add(sub(CAPACITY, INITIAL_CAPACITY), sub(CAPACITY, DISTANCE)))",-33650.02125396309
4,1,73,"sub(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))",-24880.085288224862
4,1,74,CAPACITY,-30903.21614994234
4,1,75,"sub(div(INITIAL_CAPACITY, CAPACITY), add(CAPACITY, CAPACITY))",-37674.11276546717
4,1,76,CAPACITY,-30903.21614994234
4,1,77,"div(div(CAPACITY, mult(CAPACITY, DISTANCE)), add(div(CAPACITY, DISTANCE), add(DISTANCE, DISTANCE)))",-24902.35592146946
4,1,78,CAPACITY,-30903.21614994234
4,1,79,INITIAL_CAPACITY,-37868.76354722587
4,1,80,"sub(DISTANCE, INITIAL_CAPACITY)",-42439.587648414396
4,1,81,"div(CAPACITY, CAPACITY)",-24880.085288224862
4,1,82,"mult(CAPACITY, div(DISTANCE, INITIAL_CAPACITY))",-51740.550447143796
4,1,83,"sub(CAPACITY, DISTANCE)",-22651.817913096434
4,1,84,"div(mult(add(DISTANCE, DISTANCE), mult(INITIAL_CAPACITY, CAPACITY)), add(sub(CAPACITY, INITIAL_CAPACITY), sub(CAPACITY, DISTANCE)))",-33459.08272036498
4,1,85,"sub(div(CAPACITY, CAPACITY), div(CAPACITY, CAPACITY))",-24880.085288224862
4,1,86,DISTANCE,-49740.143349434205
4,1,87,"mult(add(mult(add(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), sub(mult(CAPACITY, INITIAL_CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))), sub(mult(div(CAPACITY, DISTANCE), add(INITIAL_CAPACITY, CAPACITY)), mult(add(DISTANCE, CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))))",-30133.505303701346
4,1,88,"mult(add(DISTANCE, CAPACITY), sub(CAPACITY, DISTANCE))",-23530.136597144032
4,1,89,DISTANCE,-49740.143349434205
4,1,90,INITIAL_CAPACITY,-37868.76354722587
4,1,91,"sub(DISTANCE, DISTANCE)",-24880.085288224862
4,1,92,"div(CAPACITY, DISTANCE)",-22254.597711649025
4,1,93,DISTANCE,-49740.143349434205
4,1,94,"sub(INITIAL_CAPACITY, DISTANCE)",-31014.83093267018
4,1,95,"mult(div(INITIAL_CAPACITY, mult(DISTANCE, CAPACITY)), mult(INITIAL_CAPACITY, INITIAL_CAPACITY))",-35597.68749648369
4,1,96,"mult(CAPACITY, mult(sub(CAPACITY, DISTANCE), sub(CAPACITY, CAPACITY)))",-24880.085288224862
4,1,97,CAPACITY,-30903.21614994234
4,1,98,"div(DISTANCE, DISTANCE)",-24880.085288224862
4,1,99,CAPACITY,-30903.21614994234
4,1,100,CAPACITY,-30903.21614994234
4,2,1,"div(CAPACITY, DISTANCE)",-22254.597711649025
4,2,2,"div(CAPACITY, DISTANCE)",-22254.597711649025
4,2,3,"div(CAPACITY, DISTANCE)",-22254.597711649025
4,2,4,"div(add(CAPACITY, CAPACITY), DISTANCE)",-22254.597711649025
4,2,5,"div(CAPACITY, DISTANCE)",-22254.597711649025
4,2,6,"sub(CAPACITY, DISTANCE)",-22651.817913096434
4,2,7,"mult(add(DISTANCE, CAPACITY), sub(CAPACITY, DISTANCE))",-23530.136597144032
