max_depth,generation,id,individual,fitness
4,1,48,"div(mult(add(add(CAPACITY, DISTANCE), mult(DISTANCE, DISTANCE)), div(mult(INITIAL_CAPACITY, CAPACITY), div(INITIAL_CAPACITY, INITIAL_CAPACITY))), add(div(sub(CAPACITY, DISTANCE), div(DISTANCE, INITIAL_CAPACITY)), sub(mult(CAPACITY, DISTANCE), mult(INITIAL_CAPACITY, CAPACITY))))",-6276.2075403899835
4,1,49,"div(sub(sub(mult(CAPACITY, INITIAL_CAPACITY), mult(CAPACITY, INITIAL_CAPACITY)), div(add(DISTANCE, DISTANCE), add(CAPACITY, DISTANCE))), sub(sub(add(DISTANCE, INITIAL_CAPACITY), add(DISTANCE, DISTANCE)), add(mult(DISTANCE, INITIAL_CAPACITY), sub(CAPACITY, INITIAL_CAPACITY))))",-2805.552211226606
4,1,50,INITIAL_CAPACITY,-3811.147489705553
4,1,51,CAPACITY,-3588.788280293496
4,1,52,"mult(add(DISTANCE, CAPACITY), DISTANCE)",-6575.120215252088
4,1,53,"div(INITIAL_CAPACITY, DISTANCE)",-2783.185579015526
4,1,54,CAPACITY,-3588.788280293496
4,1,55,CAPACITY,-3588.788280293496
4,1,56,"mult(add(DISTANCE, CAPACITY), sub(CAPACITY, DISTANCE))",-2778.8174254325213
4,1,57,"mult(CAPACITY, DISTANCE)",-6502.349309724907
4,1,58,INITIAL_CAPACITY,-3811.147489705553
4,1,59,"add(sub(mult(INITIAL_CAPACITY, DISTANCE), mult(CAPACITY, INITIAL_CAPACITY)), div(add(INITIAL_CAPACITY, INITIAL_CAPACITY), sub(INITIAL_CAPACITY, DISTANCE)))",-6501.546926475314
4,1,60,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,1,61,"sub(DISTANCE, DISTANCE)",-2778.8174254325213
4,1,62,CAPACITY,-3588.788280293496
4,1,63,CAPACITY,-3588.788280293496
4,1,64,CAPACITY,-3588.788280293496
4,1,65,"div(DISTANCE, DISTANCE)",-2778.8174254325213
4,1,66,"sub(div(mult(INITIAL_CAPACITY, DISTANCE), CAPACITY), div(CAPACITY, CAPACITY))",-5802.665205176496
4,1,67,INITIAL_CAPACITY,-3811.147489705553
4,1,68,"sub(div(div(INITIAL_CAPACITY, mult(INITIAL_CAPACITY, INITIAL_CAPACITY)), INITIAL_CAPACITY), DISTANCE)",-2778.8174254325213
4,1,69,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,1,70,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,1,71,"mult(div(INITIAL_CAPACITY, sub(CAPACITY, DISTANCE)), div(DISTANCE, INITIAL_CAPACITY))",-5700.735260409392
4,1,72,"mult(add(DISTANCE, CAPACITY), sub(CAPACITY, DISTANCE))",-2778.8174254325213
4,1,73,"mult(div(div(INITIAL_CAPACITY, CAPACITY), div(CAPACITY, CAPACITY)), mult(div(INITIAL_CAPACITY, DISTANCE), DISTANCE))",-4656.1061833075155
4,1,74,"div(sub(sub(sub(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), mult(div(INITIAL_CAPACITY, INITIAL_CAPACITY), sub(CAPACITY, DISTANCE))), add(div(add(CAPACITY, DISTANCE), sub(CAPACITY, CAPACITY)), mult(sub(DISTANCE, DISTANCE), sub(CAPACITY, CAPACITY))))",-2778.8174254325213
4,1,75,INITIAL_CAPACITY,-3811.147489705553
4,1,76,"mult(mult(mult(add(INITIAL_CAPACITY, CAPACITY), mult(DISTANCE, INITIAL_CAPACITY)), add(div(CAPACITY, DISTANCE), mult(DISTANCE, INITIAL_CAPACITY))), sub(mult(sub(INITIAL_CAPACITY, DISTANCE), add(CAPACITY, CAPACITY)), add(CAPACITY, add(CAPACITY, CAPACITY))))",-2935.677356064547
4,1,77,"sub(mult(DISTANCE, INITIAL_CAPACITY), sub(CAPACITY, CAPACITY))",-6573.8014617990975
4,1,78,"mult(CAPACITY, CAPACITY)",-3588.788280293496
4,1,79,CAPACITY,-3588.788280293496
4,1,80,"mult(add(mult(add(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), sub(mult(CAPACITY, INITIAL_CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))), sub(mult(div(CAPACITY, DISTANCE), add(INITIAL_CAPACITY, CAPACITY)), mult(add(DISTANCE, CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))))",-2912.6140289229747
4,1,81,DISTANCE,-6566.020327020464
4,1,82,INITIAL_CAPACITY,-3811.147489705553
4,1,83,"sub(DISTANCE, CAPACITY)",-6525.051111511678
4,1,84,"div(CAPACITY, DISTANCE)",-2688.206276056533
4,1,85,"mult(add(mult(add(DISTANCE, CAPACITY), add(DISTANCE, INITIAL_CAPACITY)), sub(mult(CAPACITY, INITIAL_CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))), sub(mult(div(CAPACITY, DISTANCE), add(INITIAL_CAPACITY, CAPACITY)), mult(add(DISTANCE, CAPACITY), sub(INITIAL_CAPACITY, CAPACITY))))",-2912.6140289229747
4,1,86,"div(sub(CAPACITY, DISTANCE), DISTANCE)",-2688.206276056533
4,1,87,CAPACITY,-3588.788280293496
