max_depth,generation,best_individual,max_fitness,avg_fitness
4,1,"div(CAPACITY, DISTANCE)",-27371.43753287322,-36639.397459454594
4,2,"div(CAPACITY, DISTANCE)",-27371.43753287322,-33396.84522603767
4,3,"div(CAPACITY, DISTANCE)",-27371.43753287322,-31957.637573669428
4,4,"div(CAPACITY, DISTANCE)",-27371.43753287322,-31205.421661920867
4,5,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29427.20833619817
4,6,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29433.34346989335
4,7,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29097.980357083074
4,8,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29362.315768949615
4,9,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-28945.912172541717
4,10,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-28853.646937493246
4,11,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29276.870949373286
4,12,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29567.464335544148
4,13,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29795.247940671834
4,14,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-28898.27684254197
4,15,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-28673.89930199014
4,16,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-28851.148942827826
4,17,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29630.443296513935
4,18,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29703.34561300336
4,19,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-28938.20921767573
4,20,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29825.985056166155
4,21,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29373.134620950274
4,22,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29831.116609334047
4,23,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29080.199565023246
4,24,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-28852.50035176749
4,25,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-28696.81424969604
4,26,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-28512.026203919446
4,27,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-28966.629954507545
4,28,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29275.03480498789
4,29,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29396.87935245913
4,30,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29448.62719021072
4,31,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29613.930372997733
4,32,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29425.897065973862
4,33,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-28953.637532896784
4,34,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-28751.782697413302
4,35,"div(div(CAPACITY, DISTANCE), DISTANCE)",-27107.5786023286,-29370.670752141086
4,36,"div(div(CAPACITY, DISTANCE), div(DISTANCE, div(CAPACITY, DISTANCE)))",-27090.291432308954,-29196.84163720941
4,37,"div(div(CAPACITY, DISTANCE), div(DISTANCE, div(CAPACITY, DISTANCE)))",-27090.291432308954,-29739.20817425569
4,38,"div(div(CAPACITY, DISTANCE), div(DISTANCE, div(CAPACITY, DISTANCE)))",-27090.291432308954,-29255.32149758032
4,39,"div(div(CAPACITY, DISTANCE), div(DISTANCE, div(CAPACITY, DISTANCE)))",-27090.291432308954,-29276.675167421556
4,40,"div(div(CAPACITY, DISTANCE), div(DISTANCE, div(CAPACITY, DISTANCE)))",-27090.291432308954,-28943.64686424427
4,41,"div(div(CAPACITY, DISTANCE), div(DISTANCE, div(CAPACITY, DISTANCE)))",-27090.291432308954,-29086.2789374153
4,42,"div(div(CAPACITY, DISTANCE), div(DISTANCE, div(CAPACITY, DISTANCE)))",-27090.291432308954,-28679.57312393922
4,43,"div(div(CAPACITY, DISTANCE), div(DISTANCE, div(CAPACITY, DISTANCE)))",-27090.291432308954,-28260.900590911497
4,44,"div(div(div(CAPACITY, DISTANCE), DISTANCE), div(div(DISTANCE, div(CAPACITY, DISTANCE)), div(CAPACITY, DISTANCE)))",-27066.739918411087,-28137.342962505358
4,45,"div(div(div(CAPACITY, DISTANCE), DISTANCE), div(div(DISTANCE, div(CAPACITY, DISTANCE)), div(CAPACITY, DISTANCE)))",-27066.739918411087,-27592.293436810494
