Wall time,Step,Value
1789597692.750515,2048,-23.231138229370117
1789597693.364921,4096,-22.85173225402832
1789597694.586287,8192,-21.966476440429688
1789597695.7798872,12288,-19.650705337524414
1789597696.376961,14336,-18.190038681030273
1789597696.972235,16384,-16.68893814086914
1789597697.567343,18432,-15.245076179504395
1789597698.1667671,20480,-14.00855827331543
1789597698.7661362,22528,-13.056267738342285
1789597699.361248,24576,-12.361331939697266
1789597699.9555268,26624,-11.955794334411621
1789597700.553782,28672,-11.649420738220215
1789597701.1532319,30720,-11.384537696838379
1789597701.7494469,32768,-11.248113632202148
1789597702.346675,34816,-11.092850685119629
1789597702.9458492,36864,-11.050375938415527
1789597703.540457,38912,-11.023839950561523
1789597704.139817,40960,-11.085086822509766
1789597704.7357461,43008,-10.999680519104004
1789597705.3324301,45056,-10.857065200805664
1789597705.929288,47104,-10.874632835388184
1789597706.528804,49152,-10.809348106384277
1789597707.1269948,51200,-10.918478965759277
1789597707.722681,53248,-10.926600456237793
1789597708.917674,57344,-11.037216186523438
1789597710.710485,63488,-10.949996948242188
1789597711.3093498,65536,-10.844137191772461
1789597711.9056,67584,-10.841714859008789
1789597712.5061,69632,-10.902429580688477
1789597713.1018398,71680,-10.825358390808105
1789597714.298887,75776,-10.841343879699707
1789597714.895212,77824,-10.876687049865723
1789597715.491022,79872,-10.827183723449707
1789597716.085193,81920,-10.890315055847168
1789597716.679611,83968,-10.662120819091797
1789597717.873562,88064,-10.511818885803223
1789597718.473492,90112,-10.667038917541504
1789597719.0696661,92160,-10.667638778686523
1789597719.666234,94208,-10.676944732666016
1789597720.26633,96256,-10.65708065032959
1789597720.862937,98304,-10.732523918151855
1789597722.055976,102400,-10.73681640625
1789597722.6497548,104448,-10.72998046875
1789597723.846117,108544,-10.668876647949219
1789597724.461021,110592,-10.687817573547363
1789597725.057875,112640,-10.651544570922852
1789597725.6583822,114688,-10.60290241241455
1789597726.257804,116736,-10.545042991638184
1789597726.8571541,118784,-10.662793159484863
1789597728.0541089,122880,-10.936898231506348
1789597728.651111,124928,-10.952911376953125
1789597729.2471628,126976,-10.726628303527832
1789597729.868225,129024,-10.80374526977539
1789597730.461422,131072,-10.766542434692383
1789597731.058729,133120,-10.784707069396973
1789597731.656956,135168,-10.629844665527344
1789597732.251029,137216,-10.611647605895996
1789597732.848351,139264,-10.749348640441895
1789597733.445823,141312,-10.799060821533203
1789597734.037347,143360,-10.732666015625
1789597735.229558,147456,-10.565857887268066
1789597735.827342,149504,-10.582938194274902
1789597736.422071,151552,-10.599542617797852
1789597737.019346,153600,-10.674066543579102
1789597738.2146618,157696,-10.58576774597168
1789597738.814327,159744,-10.50883674621582
1789597739.412014,161792,-10.497864723205566
1789597740.013324,163840,-10.584574699401855
1789597741.210093,167936,-10.615214347839355
1789597741.810067,169984,-10.697529792785645
1789597743.005445,174080,-10.609426498413086
1789597743.606396,176128,-10.620926856994629
1789597744.216901,178176,-10.544368743896484
1789597744.8159208,180224,-10.59947395324707
1789597745.413196,182272,-10.727010726928711
1789597746.009867,184320,-10.628983497619629
1789597747.212579,188416,-10.51423168182373
1789597747.810231,190464,-10.397917747497559
1789597748.4072168,192512,-10.46442985534668
1789597749.006376,194560,-10.609835624694824
1789597749.605481,196608,-10.548046112060547
1789597750.202733,198656,-10.517991065979004
1789597750.797759,200704,-10.575446128845215
1789597751.991328,204800,-10.585270881652832
1789597752.588812,206848,-10.768125534057617
1789597753.1836421,208896,-10.764918327331543
1789597753.783657,210944,-10.722448348999023
1789597754.378898,212992,-10.62492847442627
1789597754.984939,215040,-10.555070877075195
1789597755.582577,217088,-10.614880561828613
1789597756.176675,219136,-10.632918357849121
1789597757.3708532,223232,-10.613105773925781
1789597757.967693,225280,-10.74577522277832
1789597758.563555,227328,-10.694896697998047
1789597759.16329,229376,-10.648478507995605
1789597760.356545,233472,-10.513177871704102
1789597760.956373,235520,-10.526473045349121
1789597761.554433,237568,-10.473742485046387
1789597762.149884,239616,-10.546867370605469
1789597762.771945,241664,-10.656821250915527
1789597763.370008,243712,-10.67294692993164
1789597763.964452,245760,-10.719293594360352
1789597764.5638342,247808,-10.720826148986816
1789597765.162754,249856,-10.657322883605957
1789597765.762607,251904,-10.63225269317627
1789597766.356506,253952,-10.594990730285645
1789597766.9554229,256000,-10.573514938354492
1789597767.554548,258048,-10.58854866027832
1789597768.1496708,260096,-10.621562004089355
1789597768.747054,262144,-10.53982925415039
1789597769.945025,266240,-10.550823211669922
1789597770.543596,268288,-10.48980712890625
1789597772.339693,274432,-10.535425186157227
1789597772.935863,276480,-10.636247634887695
1789597774.1307552,280576,-10.55720329284668
1789597774.730839,282624,-10.58952808380127
1789597775.9267032,286720,-10.606402397155762
1789597777.1204631,290816,-10.550469398498535
1789597777.722019,292864,-10.555603981018066
1789597778.317982,294912,-10.596671104431152
1789597778.919997,296960,-10.647570610046387
1789597779.5173252,299008,-10.612305641174316
1789597780.1160882,301056,-10.646159172058105
1789597781.3121338,305152,-10.641201972961426
1789597781.909125,307200,-10.705114364624023
1789597782.5063,309248,-10.682225227355957
1789597783.104501,311296,-10.744989395141602
1789597784.3001149,315392,-10.611105918884277
1789597784.896418,317440,-10.6552152633667
1789597785.492691,319488,-10.796436309814453
1789597786.700223,323584,-10.5838623046875
1789597787.2989922,325632,-10.662599563598633
1789597787.89518,327680,-10.722405433654785
1789597789.0906749,331776,-10.5317964553833
1789597789.6855009,333824,-10.531603813171387
1789597790.8758001,337920,-10.604530334472656
1789597791.473513,339968,-10.625974655151367
1789597792.668544,344064,-10.652151107788086
1789597793.2683342,346112,-10.684398651123047
1789597793.8693829,348160,-10.653828620910645
1789597795.060369,352256,-10.594736099243164
1789597795.6580741,354304,-10.463163375854492
1789597796.255859,356352,-10.42983627319336
1789597797.449528,360448,-10.520931243896484
1789597798.0493922,362496,-10.541816711425781
1789597798.6466691,364544,-10.59073257446289
1789597799.2673228,366592,-10.602799415588379
1789597800.460135,370688,-10.615133285522461
1789597801.056295,372736,-10.483416557312012
1789597801.653517,374784,-10.516783714294434
1789597802.249237,376832,-10.633605003356934
1789597802.8429859,378880,-10.674880027770996
1789597803.4381042,380928,-10.790291786193848
1789597804.032115,382976,-10.676536560058594
1789597804.6258318,385024,-10.65539836883545
1789597805.2228942,387072,-10.620604515075684
1789597806.41425,391168,-10.651861190795898
1789597807.0096672,393216,-10.657370567321777
1789597808.818867,399360,-10.451432228088379
1789597811.206433,407552,-10.551549911499023
1789597811.802923,409600,-10.629331588745117
1789597812.9946618,413696,-10.509305000305176
1789597813.5878541,415744,-10.588915824890137
1789597814.184027,417792,-10.586357116699219
1789597815.3792179,421888,-10.614813804626465
1789597815.9806972,423936,-10.628835678100586
1789597816.579054,425984,-10.581583976745605
1789597817.188319,428032,-10.528861045837402
1789597817.785537,430080,-10.498465538024902
1789597819.582166,436224,-10.539511680603027
1789597820.176212,438272,-10.586676597595215
1789597820.774318,440320,-10.529791831970215
1789597821.371951,442368,-10.452339172363281
1789597821.965722,444416,-10.578248977661133
1789597822.562151,446464,-10.675867080688477
1789597823.158703,448512,-10.658414840698242
1789597823.755689,450560,-10.574910163879395
1789597824.352511,452608,-10.665928840637207
1789597824.9530518,454656,-10.514180183410645
1789597825.5526311,456704,-10.540079116821289
1789597826.151853,458752,-10.557049751281738
1789597827.345734,462848,-10.478317260742188
1789597827.94616,464896,-10.528892517089844
1789597828.5431511,466944,-10.508955955505371
1789597829.738084,471040,-10.51003360748291
1789597830.337533,473088,-10.541991233825684
1789597830.9359722,475136,-10.49837589263916
1789597831.528915,477184,-10.49779224395752
1789597832.127243,479232,-10.514558792114258
1789597832.720253,481280,-10.531264305114746
1789597833.31637,483328,-10.48055362701416
1789597834.53131,487424,-10.460504531860352
1789597835.128486,489472,-10.520997047424316
1789597836.324141,493568,-10.517959594726562
1789597836.9221928,495616,-10.552788734436035
1789597837.522325,497664,-10.529608726501465
1789597838.71997,501760,-10.606792449951172
1789597839.31961,503808,-10.533604621887207
1789597839.918367,505856,-10.5543851852417
1789597840.5180008,507904,-10.671184539794922
1789597841.120107,509952,-10.742661476135254
1789597841.718563,512000,-10.673121452331543
1789597842.310474,514048,-10.59803295135498
1789597842.904759,516096,-10.595732688903809
1789597843.494847,518144,-10.522478103637695
1789597844.088432,520192,-10.517241477966309
1789597844.681515,522240,-10.557780265808105
1789597845.275716,524288,-10.619548797607422
1789597845.87287,526336,-10.509318351745605
1789597847.063029,530432,-10.569082260131836
1789597847.659981,532480,-10.68081283569336
1789597848.2595332,534528,-10.645539283752441
1789597848.853256,536576,-10.502586364746094
1789597850.0422668,540672,-10.508411407470703
1789597850.636815,542720,-10.504559516906738
1789597851.231186,544768,-10.481287002563477
1789597852.420266,548864,-10.510011672973633
1789597853.611268,552960,-10.608626365661621
1789597854.799398,557056,-10.39129638671875
1789597855.395686,559104,-10.473333358764648
1789597855.989573,561152,-10.6102933883667
1789597856.5828638,563200,-10.6271333694458
1789597857.1796732,565248,-10.660755157470703
1789597858.366564,569344,-10.642205238342285
1789597858.959596,571392,-10.694217681884766
1789597859.5551412,573440,-10.618165969848633
1789597860.151092,575488,-10.653969764709473
1789597860.7452428,577536,-10.621585845947266
1789597861.336291,579584,-10.656291961669922
1789597861.929549,581632,-10.574390411376953
1789597862.5243058,583680,-10.60890007019043
1789597865.504786,593920,-10.709819793701172
1789597866.6982641,598016,-10.608136177062988
1789597867.296618,600064,-10.569636344909668
1789597868.489579,604160,-10.506705284118652
1789597869.085432,606208,-10.632574081420898
1789597869.681761,608256,-10.631295204162598
1789597870.280133,610304,-10.541698455810547
1789597870.8783958,612352,-10.540327072143555
1789597871.4762292,614400,-10.427594184875488
1789597872.095815,616448,-10.432459831237793
1789597872.694019,618496,-10.551217079162598
1789597873.288836,620544,-10.633097648620605
1789597873.886536,622592,-10.625263214111328
1789597874.486042,624640,-10.567325592041016
1789597876.274997,630784,-10.477261543273926
1789597876.874016,632832,-10.456833839416504
1789597877.471616,634880,-10.311919212341309
1789597878.069669,636928,-10.3399658203125
1789597878.669325,638976,-10.536227226257324
1789597879.870544,643072,-10.641432762145996
1789597880.464494,645120,-10.583664894104004
1789597881.063046,647168,-10.575302124023438
1789597881.658588,649216,-10.605494499206543
1789597882.256809,651264,-10.497706413269043
1789597882.856214,653312,-10.35373306274414
1789597883.4526742,655360,-10.398345947265625
1789597884.049611,657408,-10.573323249816895
1789597884.649549,659456,-10.615689277648926
1789597885.247404,661504,-10.556549072265625
1789597885.8464901,663552,-10.51121997833252
1789597886.4443252,665600,-10.525318145751953
1789597887.0437188,667648,-10.637587547302246
1789597887.6441002,669696,-10.570747375488281
1789597888.245777,671744,-10.520934104919434
1789597888.843615,673792,-10.466861724853516
1789597890.0406342,677888,-10.624738693237305
1789597890.641332,679936,-10.657707214355469
1789597891.836575,684032,-10.564284324645996
1789597893.0365388,688128,-10.688446044921875
1789597894.231972,692224,-10.61819076538086
1789597894.827708,694272,-10.505725860595703
1789597895.423777,696320,-10.544340133666992
1789597896.0241978,698368,-10.538247108459473
1789597896.6223822,700416,-10.498435020446777
1789597897.223347,702464,-10.479047775268555
1789597897.8245718,704512,-10.507110595703125
1789597898.4277492,706560,-10.538334846496582
1789597899.0253289,708608,-10.471803665161133
1789597899.62568,710656,-10.598873138427734
1789597900.226497,712704,-10.601821899414062
1789597900.825948,714752,-10.434446334838867
1789597901.423201,716800,-10.399608612060547
1789597902.017277,718848,-10.441544532775879
1789597902.617908,720896,-10.567398071289062
1789597903.214705,722944,-10.549560546875
1789597903.812083,724992,-10.51593017578125
1789597904.4114912,727040,-10.575944900512695
1789597905.010473,729088,-10.69701862335205
1789597905.60235,731136,-10.773255348205566
1789597906.19967,733184,-10.667376518249512
1789597906.796157,735232,-10.676023483276367
1789597907.390181,737280,-10.580327987670898
1789597907.985253,739328,-10.471261024475098
1789597908.581561,741376,-10.419703483581543
1789597909.179082,743424,-10.499537467956543
1789597909.7964249,745472,-10.542703628540039
1789597910.396332,747520,-10.515151023864746
1789597910.992503,749568,-10.509453773498535
1789597911.5870059,751616,-10.47743034362793
1789597912.180496,753664,-10.540045738220215
1789597912.779953,755712,-10.547526359558105
1789597913.970111,759808,-10.580021858215332
1789597914.565095,761856,-10.50650405883789
1789597915.758039,765952,-10.4138822555542
1789597916.354826,768000,-10.495290756225586
1789597916.952137,770048,-10.593672752380371
1789597917.5517492,772096,-10.639805793762207
1789597918.1479628,774144,-10.669240951538086
1789597918.746315,776192,-10.717180252075195
1789597919.343613,778240,-10.725831031799316
1789597920.538435,782336,-10.502345085144043
1789597921.136377,784384,-10.50514030456543
1789597922.330467,788480,-10.578948974609375
1789597922.9293041,790528,-10.475013732910156
1789597923.5240068,792576,-10.507827758789062
1789597924.122871,794624,-10.509020805358887
1789597924.722325,796672,-10.518536567687988
1789597925.921945,800768,-10.567756652832031
1789597926.5185988,802816,-10.525541305541992
1789597927.119633,804864,-10.454621315002441
1789597927.7184849,806912,-10.565962791442871
1789597929.51138,813056,-10.638448715209961
1789597930.708812,817152,-10.513279914855957
1789597931.308758,819200,-10.470003128051758
1789597932.505853,823296,-10.533327102661133
1789597933.106955,825344,-10.586256980895996
1789597933.701503,827392,-10.552886962890625
1789597934.89403,831488,-10.59282112121582
1789597935.495275,833536,-10.484431266784668
1789597936.691912,837632,-10.631457328796387
1789597937.8873532,841728,-10.634173393249512
1789597938.4860191,843776,-10.586358070373535
1789597939.08356,845824,-10.669136047363281
1789597940.282602,849920,-10.60420036315918
1789597940.8931992,851968,-10.646942138671875
1789597941.494024,854016,-10.644498825073242
1789597943.284897,860160,-10.588817596435547
1789597943.8817332,862208,-10.610949516296387
1789597944.483957,864256,-10.663041114807129
1789597945.082463,866304,-10.610512733459473
1789597945.678656,868352,-10.513572692871094
1789597946.275532,870400,-10.531791687011719
1789597947.478476,874496,-10.507319450378418
1789597948.701622,878592,-10.593953132629395
1789597949.89643,882688,-10.581543922424316
1789597951.0902772,886784,-10.472477912902832
1789597952.884722,892928,-10.50424575805664
1789597953.4840572,894976,-10.504626274108887
1789597954.677313,899072,-10.623492240905762
1789597955.272972,901120,-10.605728149414062
1789597955.87143,903168,-10.596085548400879
1789597956.467961,905216,-10.644153594970703
1789597957.069356,907264,-10.641660690307617
1789597958.262689,911360,-10.439900398254395
1789597958.86488,913408,-10.472716331481934
1789597959.459098,915456,-10.451361656188965
1789597960.055819,917504,-10.482720375061035
1789597960.656023,919552,-10.5239839553833
1789597961.2542799,921600,-10.510915756225586
1789597961.85389,923648,-10.524088859558105
1789597962.45104,925696,-10.532475471496582
1789597963.050328,927744,-10.561870574951172
1789597963.650475,929792,-10.71558666229248
1789597964.250139,931840,-10.56432056427002
1789597964.847649,933888,-10.405117988586426
1789597966.040519,937984,-10.59778118133545
1789597966.636246,940032,-10.614252090454102
1789597967.234903,942080,-10.580381393432617
1789597967.829203,944128,-10.5487642288208
1789597968.425785,946176,-10.541211128234863
1789597969.026415,948224,-10.496169090270996
1789597969.628551,950272,-10.600991249084473
1789597970.2251992,952320,-10.555161476135254
1789597970.8247712,954368,-10.529731750488281
1789597971.424907,956416,-10.487493515014648
1789597972.033066,958464,-10.472723007202148
1789597972.631268,960512,-10.345800399780273
1789597973.230806,962560,-10.475419044494629
1789597973.831809,964608,-10.41589641571045
1789597974.427715,966656,-10.410999298095703
1789597975.026293,968704,-10.46318244934082
1789597975.6252701,970752,-10.535096168518066
1789597976.224864,972800,-10.646333694458008
1789597976.822675,974848,-10.571659088134766
1789597978.0172422,978944,-10.430371284484863
1789597978.6147609,980992,-10.463735580444336
1789597981.004192,989184,-10.546025276184082
1789597981.6035478,991232,-10.699983596801758
1789597982.20266,993280,-10.593841552734375
1789597982.799846,995328,-10.612540245056152
1789597983.3969789,997376,-10.478771209716797
1789597983.9950001,999424,-10.449185371398926
1789597984.59351,1001472,-10.513359069824219
1789597985.214698,1003520,-10.610753059387207
1789597986.413617,1007616,-10.455793380737305
1789597987.01007,1009664,-10.555755615234375
1789597987.608263,1011712,-10.665029525756836
1789597989.405569,1017856,-10.433053970336914
1789597990.005717,1019904,-10.52071475982666
1789597991.2011268,1024000,-10.542471885681152
1789597993.002481,1030144,-10.500116348266602
1789597993.602499,1032192,-10.543011665344238
1789597994.20399,1034240,-10.53735637664795
1789597994.80129,1036288,-10.524556159973145
1789597995.401369,1038336,-10.600903511047363
1789597995.998541,1040384,-10.572612762451172
1789597996.596528,1042432,-10.520721435546875
1789597997.194574,1044480,-10.469964981079102
1789597997.7920582,1046528,-10.533317565917969
1789597998.389096,1048576,-10.625970840454102
1789597998.985386,1050624,-10.5241060256958
1789598000.180355,1054720,-10.412224769592285
1789598000.781207,1056768,-10.462065696716309
1789598001.379688,1058816,-10.418575286865234
1789598001.97857,1060864,-10.554313659667969
1789598002.5816011,1062912,-10.523451805114746
1789598003.1966379,1064960,-10.497137069702148
1789598003.795799,1067008,-10.573885917663574
1789598004.995405,1071104,-10.651260375976562
1789598005.5964968,1073152,-10.609408378601074
1789598006.198288,1075200,-10.544432640075684
1789598006.7969851,1077248,-10.514488220214844
1789598010.3842418,1089536,-10.571734428405762
1789598011.574937,1093632,-10.573735237121582
1789598012.172174,1095680,-10.45164680480957
1789598012.771279,1097728,-10.374122619628906
1789598013.366393,1099776,-10.414057731628418
1789598013.965652,1101824,-10.450577735900879
1789598014.5606048,1103872,-10.491313934326172
1789598015.1569002,1105920,-10.556108474731445
1789598015.753954,1107968,-10.599235534667969
1789598016.349728,1110016,-10.633968353271484
1789598016.944535,1112064,-10.617000579833984
1789598017.5430431,1114112,-10.607954978942871
1789598018.141928,1116160,-10.567981719970703
1789598018.746742,1118208,-10.398038864135742
1789598019.3422441,1120256,-10.381010055541992
1789598019.9381151,1122304,-10.450695037841797
1789598020.538039,1124352,-10.371886253356934
1789598021.136469,1126400,-10.405885696411133
1789598022.3311439,1130496,-10.376701354980469
1789598022.93024,1132544,-10.375640869140625
1789598023.528439,1134592,-10.408585548400879
1789598024.7498329,1138688,-10.53247356414795
1789598025.346242,1140736,-10.540329933166504
1789598025.944427,1142784,-10.516115188598633
1789598026.541179,1144832,-10.579912185668945
1789598027.1389859,1146880,-10.53288459777832
1789598027.734124,1148928,-10.458395004272461
1789598028.330241,1150976,-10.426277160644531
1789598029.5285718,1155072,-10.491280555725098
1789598030.128934,1157120,-10.575241088867188
1789598030.7277498,1159168,-10.59990119934082
1789598031.3265548,1161216,-10.567973136901855
1789598031.923429,1163264,-10.561241149902344
1789598032.5200791,1165312,-10.702115058898926
1789598033.118318,1167360,-10.578566551208496
1789598033.7138329,1169408,-10.527417182922363
1789598034.3298078,1171456,-10.561460494995117
1789598034.929323,1173504,-10.472694396972656
1789598035.520576,1175552,-10.445212364196777
1789598036.122284,1177600,-10.613531112670898
1789598037.316923,1181696,-10.536635398864746
1789598037.916233,1183744,-10.540507316589355
