Wall time,Step,Value
1789706699.7749891,38912,-126.04737854003906
1789706703.375849,51200,-107.31661224365234
1789706713.0089111,83968,-97.71648406982422
1789706714.208534,88064,-97.277099609375
1789706716.011009,94208,-96.73162841796875
1789706722.607357,116736,-95.86740112304688
1789706731.582975,147456,-96.96527099609375
1789706733.396662,153600,-97.52169799804688
1789706745.306329,194560,-95.39334869384766
1789706752.477414,219136,-95.18527221679688
1789706764.454271,260096,-96.26097106933594
1789706782.031632,319488,-97.98255920410156
1789706783.83289,325632,-97.37197875976562
1789706789.2591941,344064,-95.9020004272461
1789706798.900981,376832,-94.74030303955078
1789706800.1121202,380928,-94.69763946533203
1789706826.653166,471040,-95.406494140625
1789706829.6710541,481280,-95.01889038085938
1789706838.716325,512000,-94.54164123535156
1789706842.330849,524288,-95.06135559082031
1789706845.35743,534528,-95.04902648925781
1789706849.571681,548864,-95.10038757324219
1789706853.210925,561152,-94.83121490478516
1789706864.6540139,600064,-96.49180603027344
1789706874.313084,632832,-95.73262786865234
1789706875.514186,636928,-95.75453186035156
1789706880.342999,653312,-95.90481567382812
1789706892.984697,696320,-95.82421112060547
1789706897.817237,712704,-95.1872329711914
1789706907.4398358,745472,-95.71209716796875
1789706909.844434,753664,-96.03955841064453
1789706942.374091,864256,-94.65570068359375
1789706942.9770482,866304,-94.82476043701172
1789706953.2396271,901120,-94.73915100097656
1789706955.037764,907264,-94.92473602294922
1789706956.8455281,913408,-94.71271514892578
1789706965.931211,944128,-95.88786315917969
1789706967.74392,950272,-96.09725189208984
1789706968.34759,952320,-96.24429321289062
1789706974.379889,972800,-95.49417877197266
1789706985.835694,1011712,-96.46153259277344
1789706998.497466,1054720,-95.54602813720703
1789707008.774837,1089536,-96.64935302734375
1789707011.788759,1099776,-96.91292572021484
1789707028.0250728,1155072,-95.13934326171875
1789707034.031976,1175552,-95.36962127685547
1789707037.6308749,1187840,-95.27330017089844
1789707041.8148448,1202176,-94.91019439697266
1789707042.4179509,1204224,-94.7988510131836
1789707062.349484,1271808,-96.3198013305664
1789707063.5535848,1275904,-96.2540512084961
1789707070.763594,1300480,-96.16138458251953
1789707074.9701388,1314816,-96.56847381591797
1789707075.571063,1316864,-96.7796401977539
1789707076.7749739,1320960,-96.8011245727539
1789707078.572046,1327104,-96.90354919433594
1789707079.785871,1331200,-96.96257781982422
1789707087.037259,1355776,-96.82353973388672
1789707093.0546272,1376256,-97.37749481201172
1789707118.9192262,1464320,-94.65340423583984
1789707121.320545,1472512,-94.8489761352539
1789707123.730106,1480704,-95.05610656738281
1789707128.539955,1497088,-95.6229019165039
1789707133.9648151,1515520,-95.80440521240234
1789707141.781104,1542144,-95.44127655029297
1789707144.191919,1550336,-95.23738861083984
1789707149.62363,1568768,-95.54629516601562
1789707152.044357,1576960,-95.43965911865234
1789707153.247859,1581056,-95.11688995361328
1789707154.453425,1585152,-94.9345474243164
1789707158.668034,1599488,-94.6332778930664
1789707161.671148,1609728,-94.49503326416016
1789707162.8700428,1613824,-94.70728302001953
1789707165.879381,1624064,-95.12325286865234
1789707167.079607,1628160,-95.38099670410156
1789707169.482411,1636352,-95.99362182617188
1789707171.904435,1644544,-96.10680389404297
1789707175.522154,1656832,-95.62972259521484
1789707176.125889,1658880,-95.7857894897461
1789707189.984053,1705984,-95.4546890258789
1789707192.403795,1714176,-96.00646209716797
1789707212.2868962,1781760,-95.74722290039062
1789707216.504807,1796096,-95.02493286132812
1789707220.113655,1808384,-94.960693359375
1789707228.543316,1837056,-95.47550964355469
1789707230.953869,1845248,-95.99853515625
1789707235.157894,1859584,-95.80988311767578
1789707236.362467,1863680,-95.87960815429688
1789707241.171832,1880064,-96.47702026367188
1789707249.5932438,1908736,-97.13489532470703
1789707250.195114,1910784,-96.94107818603516
1789707256.235824,1931264,-96.47700500488281
1789707258.0428102,1937408,-96.5865707397461
1789707263.459081,1955840,-96.98814392089844
1789707268.279379,1972224,-97.55535888671875
1789707273.689429,1990656,-97.2698745727539
1789707274.2921999,1992704,-97.04841613769531
1789707277.897241,2004992,-96.2337646484375
1789707278.494994,2007040,-96.18649291992188
1789707281.513201,2017280,-95.33832550048828
1789707292.357412,2054144,-95.19120025634766
1789707294.159889,2060288,-95.3464584350586
1789707299.597075,2078720,-95.96275329589844
1789707317.6985931,2140160,-96.27043151855469
1789707325.500001,2166784,-95.65403747558594
1789707329.0934982,2179072,-95.55511474609375
1789707330.889517,2185216,-96.13538360595703
1789707332.0906901,2189312,-96.22461700439453
1789707334.482909,2197504,-96.26079559326172
1789707338.0643158,2209792,-96.54774475097656
1789707341.067852,2220032,-96.80786895751953
1789707347.149489,2240512,-96.96186828613281
1789707350.753739,2252800,-97.03556060791016
1789707353.7697961,2263040,-96.52631378173828
1789707359.7730591,2283520,-95.85428619384766
1789707385.060509,2369536,-95.62276458740234
1789707387.472042,2377728,-95.84099578857422
1789707388.070341,2379776,-95.7457275390625
1789707388.672822,2381824,-95.89794158935547
1789707399.495125,2418688,-95.68256378173828
1789707407.3258162,2445312,-95.32633209228516
1789707415.162685,2471936,-94.95338439941406
1789707430.811048,2525184,-96.13843536376953
1789707438.044171,2549760,-96.79210662841797
1789707444.6738381,2572288,-96.48741149902344
1789707446.47875,2578432,-96.14118957519531
1789707448.290553,2584576,-96.283447265625
1789707460.355105,2625536,-95.97058868408203
1789707463.996005,2637824,-94.89466094970703
1789707468.2166212,2652160,-94.97994232177734
1789707471.833884,2664448,-95.60939025878906
1789707481.452256,2697216,-96.53486633300781
1789707483.255552,2703360,-96.05309295654297
1789707489.8646011,2725888,-95.21331024169922
1789707491.665926,2732032,-95.3024673461914
1789707493.4594429,2738176,-95.08423614501953
1789707494.060887,2740224,-95.13639831542969
1789707522.974219,2838528,-94.44416046142578
1789707524.777627,2844672,-94.55509948730469
1789707526.598173,2850816,-94.95579528808594
1789707527.19913,2852864,-95.18340301513672
1789707540.488157,2897920,-96.84490203857422
1789707547.7258592,2922496,-96.4571533203125
1789707553.7632132,2942976,-96.490234375
1789707556.177258,2951168,-96.56708526611328
1789707571.251627,3002368,-94.89869689941406
1789707571.851237,3004416,-94.58782958984375
1789707578.497757,3026944,-94.01007843017578
1789707583.3193521,3043328,-94.7356185913086
1789707585.722879,3051520,-95.1039047241211
1789707586.931293,3055616,-95.26365661621094
1789707606.221888,3121152,-96.42017364501953
1789707608.6357079,3129344,-96.30271911621094
1789707623.727715,3180544,-95.60791015625
1789707633.4473128,3213312,-95.02505493164062
1789707634.0495539,3215360,-94.92442321777344
1789707643.0621052,3246080,-95.5918197631836
1789707645.458673,3254272,-95.86264038085938
1789707655.050549,3287040,-95.84280395507812
1789707655.652477,3289088,-95.69972229003906
1789707668.928788,3334144,-95.57950592041016
1789707671.9397361,3344384,-94.95307922363281
1789707674.956516,3354624,-94.51080322265625
1789707676.756463,3360768,-94.2418212890625
1789707679.774405,3371008,-94.64126586914062
1789707681.5766919,3377152,-94.50775909423828
1789707688.799532,3401728,-94.42108154296875
1789707693.610473,3418112,-94.48951721191406
1789707697.811886,3432448,-94.60924530029297
1789707702.028376,3446784,-95.3095474243164
1789707707.4587278,3465216,-93.89093780517578
1789707709.86718,3473408,-94.02589416503906
1789707711.0710201,3477504,-93.56934356689453
1789707712.273797,3481600,-93.78533935546875
1789707714.081492,3487744,-93.63069152832031
